time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
0.000000000,  0.0000, 0.0000, 0.0000, 541.7960, 0.0000,
0.020131408,541.7960,-0.0019,-0.0000, 541.7960,-0.0683,
0.040233973,541.7960,-0.0032,-0.0000, 541.7960,-0.0710,
0.060334129,541.7959,-0.0056, 0.0000, 541.7947,-0.1994,
0.080436078,541.7957,-0.0075, 0.0000, 541.7947,-0.0627,
0.100533900,541.7956,-0.0087,-0.0000, 541.8546,-0.1050,
0.120644892,541.7957,-0.0098,-0.0000, 541.8546, 0.0233,
0.140745840,541.7959,-0.0054,-0.0000, 541.8546, 0.3279,
0.160846788,541.7962, 0.0054,-0.0000, 541.8697, 0.7044,
0.181068942,541.7969, 0.0252,-0.0000, 541.8697, 1.1419,
0.201171266,541.7980, 0.0513,-0.0000, 541.8344, 1.3665,
0.221283259,541.7994, 0.0791,-0.0000, 541.8344, 1.3821,
0.241389625,541.8015, 0.1062,-0.0000, 541.8344, 1.3384,
0.261493157,541.8042, 0.1313,-0.0000, 541.8793, 1.1814,
0.281586770,541.8074, 0.1527,-0.0000, 541.8793, 0.9841,
0.301687426,541.8110, 0.1685,-0.0000, 541.8940, 0.6541,
0.321797085,541.8149, 0.1770,-0.0000, 541.8940, 0.3027,
0.341895949,541.8188, 0.1803,-0.0000, 541.8940, 0.0927,
0.361997188,541.8230, 0.1812,-0.0000, 541.9544, 0.0359,
0.382097219,541.8273, 0.1823,-0.0000, 541.9544, 0.0466,
0.402199918,541.8316, 0.1826,-0.0000, 541.9218,-0.0047,
0.422312578,541.8356, 0.1821,-0.0000, 541.9218,-0.0408,
0.442417652,541.8397, 0.1814,-0.0001, 541.9218,-0.0300,
0.462518558,541.8438, 0.1815,-0.0001, 541.9365, 0.0258,
0.482618006,541.8479, 0.1831,-0.0001, 541.9365, 0.1098,
0.502729374,541.8520, 0.1863,-0.0001, 541.9314, 0.1762,
0.522852537,541.8562, 0.1903,-0.0001, 541.9314, 0.2045,
0.542952943,541.8604, 0.1938,-0.0001, 541.9314, 0.1573,
0.563058726,541.8647, 0.1978,-0.0001, 541.9461, 0.2444,
0.583163342,541.8691, 0.2048,-0.0001, 541.9461, 0.4012,
0.603273710,541.8737, 0.2145,-0.0001, 541.9612, 0.5285,
0.623386161,541.8785, 0.2264,-0.0001, 541.9612, 0.6335,
0.643478023,541.8836, 0.2403,-0.0001, 541.9612, 0.7225,
0.663586557,541.8888, 0.2552,-0.0001, 541.9314, 0.7497,
0.683695174,541.8942, 0.2703,-0.0001, 541.9314, 0.7555,
0.703806917,541.9000, 0.2859,-0.0001, 541.9461, 0.7911,
0.723919202,541.9061, 0.3016,-0.0001, 541.9461, 0.7644,
0.744035322,541.9124, 0.3156,-0.0001, 541.9461, 0.6482,
0.764137603,541.9192, 0.3267,-0.0001, 541.9910, 0.5036,
0.784236217,541.9261, 0.3356,-0.0001, 541.9910, 0.4133,
0.804336373,541.9333, 0.3425,-0.0001, 542.0058, 0.2951,
0.824446074,541.9405, 0.3466,-0.0001, 542.0058, 0.1530,
0.844573364,541.9477, 0.3482,-0.0001, 542.0058, 0.0403,
0.864674728,541.9548, 0.3479,-0.0001, 541.9708,-0.0373,
0.884770925,541.9618, 0.3459,-0.0001, 541.9708,-0.1387,
0.904869414,541.9688, 0.3419,-0.0001, 542.0010,-0.2496,
0.924977447,541.9757, 0.3359,-0.0001, 542.0010,-0.3279,
0.945087023,541.9841, 0.3256,-0.0001, 542.0010,-0.4555,
0.965190430,541.9907, 0.3154,-0.0001, 542.0308,-0.5600,
0.985291461,541.9971, 0.3024,-0.0001, 542.0308,-0.6747,
