39.219127596,545.4557,-0.1625,-0.0444, 545.6585,-0.5915,
39.239274392,545.4534,-0.1728,-0.0444, 545.6585,-0.5161,
39.259388569,545.4512,-0.1791,-0.0444, 545.8481,-0.1536,
39.279492623,545.4496,-0.1782,-0.0444, 545.8481, 0.0535,
39.299592970,545.4480,-0.1751,-0.0444, 545.7933, 0.1316,
39.319693233,545.4463,-0.1699,-0.0444, 545.7933, 0.0542,
39.339801662,545.4446,-0.1709,-0.0445, 545.6510,-0.1715,
39.359908507,545.4423,-0.1725,-0.0445, 545.6510,-0.0939,
39.380009937,545.4399,-0.1736,-0.0445, 545.6510,-0.1581,
39.400107784,545.4374,-0.1803,-0.0445, 545.6387,-0.5429,
39.420206006,545.4346,-0.1951,-0.0445, 545.6387,-0.9085,
39.440312352,545.4316,-0.2092,-0.0445, 545.8831,-0.5713,
39.460415076,545.4297,-0.2130,-0.0445, 545.8831,-0.0881,
39.480514009,545.4277,-0.2103,-0.0445, 545.8831, 0.1566,
39.500616816,545.4254,-0.2046,-0.0446, 545.7107, 0.2460,
39.520717499,545.4228,-0.1987,-0.0446, 545.7107, 0.2325,
39.540864880,545.4204,-0.1920,-0.0446, 545.8231, 0.3082,
39.560969271,545.4187,-0.1834,-0.0446, 545.8231, 0.4159,
39.581071245,545.4171,-0.1716,-0.0446, 545.8231, 0.5986,
39.601171969,545.4152,-0.1588,-0.0446, 545.5334, 0.5533,
39.621272318,545.4127,-0.1477,-0.0446, 545.5334, 0.5252,
39.641383332,545.4105,-0.1299,-0.0446, 545.6510, 1.0050,
39.661485223,545.4094,-0.1061,-0.0446, 545.6510, 1.1401,
39.681586447,545.4087,-0.0868,-0.0446, 545.6510, 0.7541,
39.701685714,545.4084,-0.0753,-0.0447, 545.7182, 0.5077,
39.721786480,545.4086,-0.0658,-0.0447, 545.7182, 0.4459,
39.741893786,545.4089,-0.0578,-0.0447, 545.6387, 0.3121,
39.762003842,545.4090,-0.0507,-0.0447, 545.6387, 0.3293,
39.782106274,545.4092,-0.0409,-0.0447, 545.6387, 0.5011,
39.802205582,545.4095,-0.0303,-0.0447, 545.5783, 0.4550,
39.822304557,545.4098,-0.0210,-0.0447, 545.5783, 0.4130,
39.842413446,545.4103,-0.0142,-0.0447, 545.5187, 0.2651,
39.862519420,545.4107,-0.0076,-0.0447, 545.5187, 0.2701,
39.882619686,545.4111,-0.0026,-0.0447, 545.5187, 0.1564,
39.902860799,545.4122,-0.0010,-0.0447, 545.7556,-0.0308,
39.922984519,545.4139,-0.0012,-0.0448, 545.7556,-0.0879,
39.943117195,545.4156,-0.0026,-0.0448, 546.6360,-0.1303,
39.963219794,545.4217,-0.0044,-0.0448, 546.6360,-0.1781,
39.983317353,545.4277,-0.0064,-0.0449, 546.6360,-0.2537,
40.003415286,545.4306,-0.0095,-0.0449, 545.4563,-0.1218,
40.023527799,545.4305,-0.0138,-0.0449, 545.4563,-0.3512,
40.043633523,545.4303,-0.0188,-0.0449, 545.4090,-0.2306,
40.063729123,545.4298,-0.0245,-0.0449, 545.4090,-0.4044,
40.083859175,545.4291,-0.0228,-0.0449, 545.4090, 0.3454,
40.103957108,545.4291,-0.0358,-0.0449, 545.6061,-0.5795,
40.124058666,545.4292,-0.0404,-0.0449, 545.6061,-0.2130,
40.144170263,545.4290,-0.0425,-0.0449, 545.3987,-0.2205,
40.164274195,545.4279,-0.0458,-0.0449, 545.3987,-0.2264,
40.184376919,545.4268,-0.0544,-0.0449, 545.3987,-0.5788,
40.204476185,545.4263,-0.0587,-0.0449, 545.6085,-0.0815,
