time,altitude,velocity,accel_bias,alt (bmp),vert_accel
81.480793311,593.2114,-0.0071,-0.2644, 593.4264,-0.2723
81.500921354,593.2123,-0.0072,-0.2645, 593.4264,-0.2747
81.521042648,593.2132,-0.0072,-0.2645, 593.4264,-0.2755
81.541143029,593.2135,-0.0073,-0.2645, 593.2711,-0.2697
81.561254407,593.2137,-0.0074,-0.2645, 593.2711,-0.2687
81.581363578,593.2136,-0.0076,-0.2645, 593.1168,-0.2724
81.601481289,593.2129,-0.0078,-0.2645, 593.1168,-0.2692
81.621592710,593.2123,-0.0079,-0.2645, 593.1168,-0.2703
81.641707005,593.2126,-0.0079,-0.2645, 593.3617,-0.2660
81.661813468,593.2131,-0.0079,-0.2645, 593.3617,-0.2670
81.681923180,593.2135,-0.0079,-0.2645, 593.1792,-0.2739
81.702046766,593.2131,-0.0081,-0.2645, 593.1792,-0.2685
81.722152645,593.2128,-0.0082,-0.2645, 593.1792,-0.2694
81.742302310,593.2122,-0.0083,-0.2645, 593.1168,-0.2650
81.762409356,593.2115,-0.0083,-0.2645, 593.1168,-0.2599
81.782561395,593.2112,-0.0082,-0.2645, 593.3469,-0.2587
81.802664900,593.2117,-0.0080,-0.2645, 593.3469,-0.2584
81.822764364,593.2122,-0.0078,-0.2645, 593.3469,-0.2599
81.842862828,593.2128,-0.0077,-0.2645, 593.3737,-0.2633
81.862962792,593.2135,-0.0076,-0.2645, 593.3737,-0.2681
81.883061881,593.2139,-0.0077,-0.2645, 593.2184,-0.2733
81.903700012,593.2138,-0.0079,-0.2645, 593.2184,-0.2754
81.923801975,593.2136,-0.0081,-0.2645, 593.2184,-0.2733
81.943907813,593.2129,-0.0083,-0.2645, 593.1086,-0.2694
81.964008944,593.2122,-0.0084,-0.2645, 593.1086,-0.2663
81.984108783,593.2111,-0.0086,-0.2645, 592.9546,-0.2692
82.004391760,593.2096,-0.0088,-0.2645, 592.9546,-0.2653
82.024498598,593.2081,-0.0090,-0.2645, 593.2305,-0.2671
82.044606560,593.2080,-0.0090,-0.2645, 593.2305,-0.2660
82.064707441,593.2080,-0.0090,-0.2645, 593.2305,-0.2641
82.084808780,593.2076,-0.0091,-0.2645, 593.1389,-0.2654
82.104922200,593.2071,-0.0091,-0.2645, 593.1389,-0.2619
82.125017664,593.2066,-0.0091,-0.2644, 593.5249,-0.2583
82.145125085,593.2080,-0.0087,-0.2645, 593.5249,-0.2545
82.165227466,593.2094,-0.0083,-0.2645, 593.5249,-0.2574
82.185329721,593.2098,-0.0081,-0.2645, 593.1399,-0.2581
82.205441058,593.2093,-0.0081,-0.2645, 593.1399,-0.2595
82.225546646,593.2088,-0.0080,-0.2645, 593.1055,-0.2561
82.245652401,593.2081,-0.0079,-0.2645, 593.1055,-0.2558
82.265753701,593.2074,-0.0079,-0.2645, 593.1055,-0.2577
82.285858459,593.2066,-0.0079,-0.2645, 593.0738,-0.2611
82.305970007,593.2058,-0.0079,-0.2645, 593.0738,-0.2646
82.326073056,593.2050,-0.0080,-0.2645, 593.3324,-0.2651
82.346179897,593.2054,-0.0079,-0.2645, 593.3324,-0.2685
82.366285904,593.2059,-0.0079,-0.2645, 593.3324,-0.2672
82.386383205,593.2067,-0.0079,-0.2645, 593.4533,-0.2708
82.406497711,593.2077,-0.0078,-0.2645, 593.4533,-0.2698
82.426599219,593.2088,-0.0079,-0.2645, 593.7102,-0.2734
82.446703268,593.2112,-0.0077,-0.2645, 593.7102,-0.2706
82.466807526,593.2135,-0.0075,-0.2645, 593.7102,-0.2731
