time,altitude,velocity,accel_bias,alt (bmp),vert_accel
85.504178362,593.2780, 0.0004,-0.2652, 593.6245,-0.2755
85.524304792,593.2793, 0.0005,-0.2652, 593.6438,-0.2724
85.544407641,593.2811, 0.0007,-0.2652, 593.6438,-0.2681
85.564508782,593.2829, 0.0008,-0.2652, 593.6438,-0.2658
85.584624463,593.2840, 0.0011,-0.2652, 593.3469,-0.2575
85.604732645,593.2843, 0.0012,-0.2652, 593.3469,-0.2615
85.624856575,593.2847, 0.0013,-0.2652, 593.4585,-0.2612
85.644969048,593.2856, 0.0015,-0.2652, 593.4585,-0.2584
85.665066564,593.2864, 0.0016,-0.2652, 593.4585,-0.2663
85.685178996,593.2871, 0.0018,-0.2652, 593.3679,-0.2644
85.705287636,593.2875, 0.0017,-0.2653, 593.3679,-0.2797
85.725453934,593.2880, 0.0017,-0.2653, 593.2773,-0.2664
85.745565532,593.2879, 0.0017,-0.2653, 593.2773,-0.2531
85.765676672,593.2879, 0.0018,-0.2653, 593.2773,-0.2615
85.785789145,593.2882, 0.0020,-0.2653, 593.4130,-0.2553
85.805896743,593.2889, 0.0023,-0.2653, 593.4130,-0.2545
85.826066582,593.2895, 0.0026,-0.2653, 593.4888,-0.2568
85.846160433,593.2906, 0.0030,-0.2653, 593.4888,-0.2464
85.866266241,593.2916, 0.0034,-0.2653, 593.4888,-0.2524
85.886378255,593.2922, 0.0036,-0.2653, 593.3056,-0.2582
85.906471981,593.2923, 0.0037,-0.2653, 593.3056,-0.2599
85.926584329,593.2924, 0.0038,-0.2653, 593.1695,-0.2666
85.946682929,593.2919, 0.0037,-0.2653, 593.1695,-0.2614
85.966809108,593.2913, 0.0036,-0.2653, 593.1695,-0.2724
85.986903001,593.2914, 0.0035,-0.2653, 593.4227,-0.2696
86.006997768,593.2921, 0.0034,-0.2653, 593.4227,-0.2756
86.027106825,593.2928, 0.0033,-0.2653, 593.4530,-0.2753
86.047210966,593.2939, 0.0031,-0.2653, 593.4530,-0.2749
86.067310441,593.2948, 0.0032,-0.2653, 593.4530,-0.2669
86.087403667,593.2950, 0.0032,-0.2653, 593.3014,-0.2661
86.107506808,593.2951, 0.0032,-0.2653, 593.3014,-0.2663
86.127632529,593.2954, 0.0031,-0.2653, 593.4664,-0.2702
86.147740877,593.2963, 0.0032,-0.2653, 593.4664,-0.2666
86.167846559,593.2972, 0.0033,-0.2653, 593.4664,-0.2648
86.187955408,593.2976, 0.0033,-0.2653, 593.3300,-0.2660
86.208057383,593.2978, 0.0032,-0.2653, 593.3300,-0.2734
86.228172022,593.2981, 0.0031,-0.2653, 593.3696,-0.2738
86.248290036,593.2985, 0.0030,-0.2653, 593.3696,-0.2703
86.268392597,593.2989, 0.0030,-0.2653, 593.3696,-0.2634
86.288494491,593.3006, 0.0033,-0.2653, 593.7216,-0.2652
86.308598676,593.3028, 0.0036,-0.2654, 593.7216,-0.2655
86.328714401,593.3045, 0.0038,-0.2654, 593.3438,-0.2649
86.348822752,593.3047, 0.0039,-0.2654, 593.3438,-0.2638
86.368931604,593.3050, 0.0040,-0.2654, 593.3438,-0.2619
86.389035789,593.3062, 0.0040,-0.2654, 593.5773,-0.2733
86.409141391,593.3076, 0.0041,-0.2654, 593.5773,-0.2660
86.429254699,593.3089, 0.0042,-0.2654, 593.4867,-0.2676
86.449361259,593.3099, 0.0043,-0.2654, 593.4867,-0.2649
86.469467403,593.3108, 0.0044,-0.2654, 593.4867,-0.2661
86.489572338,593.3114, 0.0044,-0.2654, 593.3737,-0.2658
