time,altitude,velocity,accel_bias,alt (bmp),vert_accel
182.060500926,593.6545, 0.0081,-0.2616, 593.6131,-0.2705
182.080648132,593.6545, 0.0079,-0.2616, 593.6131,-0.2733
182.100740555,593.6544, 0.0077,-0.2616, 593.6131,-0.2660
182.120831478,593.6540, 0.0075,-0.2616, 593.5360,-0.2677
182.140929733,593.6536, 0.0073,-0.2616, 593.5360,-0.2727
182.161027280,593.6533, 0.0070,-0.2616, 593.7096,-0.2717
182.181325216,593.6537, 0.0069,-0.2616, 593.7096,-0.2664
182.201454342,593.6541, 0.0069,-0.2616, 593.7096,-0.2608
182.221559804,593.6554, 0.0070,-0.2616, 593.8604,-0.2608
182.241659851,593.6566, 0.0071,-0.2616, 593.8604,-0.2639
182.261756817,593.6570, 0.0071,-0.2616, 593.5887,-0.2643
182.281871280,593.6568, 0.0070,-0.2616, 593.5887,-0.2667
182.301973246,593.6566, 0.0069,-0.2616, 593.6355,-0.2636
182.322068129,593.6566, 0.0067,-0.2616, 593.6355,-0.2693
182.342170552,593.6566, 0.0065,-0.2616, 593.6355,-0.2717
182.362269226,593.6561, 0.0061,-0.2616, 593.4054,-0.2759
182.382376774,593.6549, 0.0056,-0.2616, 593.4054,-0.2790
182.402481156,593.6537, 0.0051,-0.2616, 593.6204,-0.2795
182.422582788,593.6537, 0.0048,-0.2616, 593.6204,-0.2748
182.442685003,593.6536, 0.0045,-0.2616, 593.6204,-0.2734
182.462787885,593.6527, 0.0042,-0.2616, 593.3149,-0.2671
182.482914264,593.6511, 0.0039,-0.2616, 593.3149,-0.2712
182.503018521,593.6494, 0.0035,-0.2615, 593.4089,-0.2697
182.523118278,593.6483, 0.0032,-0.2615, 593.4089,-0.2648
182.543219160,593.6471, 0.0031,-0.2615, 593.4089,-0.2661
182.563319792,593.6460, 0.0029,-0.2615, 593.4072,-0.2586
182.583451795,593.6448, 0.0028,-0.2615, 593.4072,-0.2577
182.603564634,593.6437, 0.0027,-0.2615, 593.5487,-0.2625
182.623671974,593.6432, 0.0026,-0.2615, 593.5487,-0.2636
182.643792895,593.6428, 0.0025,-0.2615, 593.5487,-0.2610
182.663910941,593.6425, 0.0024,-0.2615, 593.5900,-0.2636
182.684027321,593.6422, 0.0023,-0.2615, 593.5900,-0.2686
182.704142451,593.6420, 0.0022,-0.2615, 593.4223,-0.2582
182.724252040,593.6409, 0.0022,-0.2615, 593.4223,-0.2589
182.744371628,593.6399, 0.0020,-0.2615, 593.4223,-0.2624
182.764479759,593.6390, 0.0019,-0.2615, 593.4981,-0.2617
182.784624260,593.6383, 0.0018,-0.2614, 593.4981,-0.2592
182.804736641,593.6376, 0.0017,-0.2614, 593.6727,-0.2629
182.824844106,593.6378, 0.0017,-0.2614, 593.6727,-0.2594
182.844955611,593.6380, 0.0017,-0.2614, 593.6727,-0.2648
182.865096446,593.6376, 0.0016,-0.2614, 593.4375,-0.2639
182.885216117,593.6366, 0.0014,-0.2614, 593.4375,-0.2722
182.905328206,593.6356, 0.0010,-0.2614, 593.7412,-0.2784
182.925425297,593.6362, 0.0006,-0.2614, 593.7412,-0.2832
182.945523596,593.6367, 0.0002,-0.2614, 593.7412,-0.2866
182.965621646,593.6364,-0.0003,-0.2614, 593.4072,-0.2844
182.985724069,593.6352,-0.0008,-0.2614, 593.4072,-0.2751
183.005852281,593.6340,-0.0012,-0.2614, 593.4357,-0.2788
183.025949497,593.6330,-0.0017,-0.2614, 593.4357,-0.2759
183.046041172,593.6319,-0.0021,-0.2614, 593.4357,-0.2761
