time,altitude,velocity,accel_bias,alt (bmp),vert_accel
217.263955861,593.8429, 0.0168,-0.2646, 593.9562,-0.2695
217.284067485,593.8440, 0.0169,-0.2646, 593.9562,-0.2571
217.304178525,593.8448, 0.0171,-0.2646, 593.9255,-0.2560
217.324285650,593.8455, 0.0173,-0.2646, 593.9255,-0.2524
217.344382734,593.8458, 0.0176,-0.2646, 593.5725,-0.2514
217.364483025,593.8448, 0.0177,-0.2646, 593.5725,-0.2520
217.384597149,593.8437, 0.0177,-0.2646, 593.5725,-0.2590
217.404703690,593.8433, 0.0177,-0.2646, 593.7140,-0.2588
217.424806190,593.8429, 0.0176,-0.2646, 593.7140,-0.2654
217.444901857,593.8426, 0.0174,-0.2646, 593.6538,-0.2717
217.465016230,593.8419, 0.0172,-0.2646, 593.6538,-0.2696
217.485130312,593.8413, 0.0169,-0.2646, 593.6538,-0.2732
217.505232520,593.8417, 0.0168,-0.2646, 593.9145,-0.2716
217.525336770,593.8424, 0.0167,-0.2646, 593.9145,-0.2687
217.545437687,593.8432, 0.0167,-0.2646, 594.0013,-0.2687
217.565538270,593.8443, 0.0168,-0.2646, 594.0013,-0.2598
217.585653227,593.8454, 0.0171,-0.2646, 594.0013,-0.2576
217.605762642,593.8455, 0.0173,-0.2646, 593.7430,-0.2514
217.625865767,593.8453, 0.0174,-0.2646, 593.7430,-0.2527
217.645966767,593.8455, 0.0177,-0.2646, 594.0164,-0.2525
217.666068976,593.8467, 0.0179,-0.2646, 594.0164,-0.2604
217.686184265,593.8479, 0.0182,-0.2646, 594.0164,-0.2567
217.706293598,593.8485, 0.0183,-0.2646, 593.8501,-0.2626
217.726430051,593.8488, 0.0182,-0.2646, 593.8501,-0.2670
217.746530676,593.8491, 0.0182,-0.2646, 593.7595,-0.2603
217.766629177,593.8490, 0.0181,-0.2646, 593.7595,-0.2711
217.786742550,593.8489, 0.0180,-0.2646, 593.7595,-0.2628
217.806857548,593.8489, 0.0179,-0.2646, 593.7898,-0.2666
217.826963089,593.8489, 0.0180,-0.2646, 593.7898,-0.2559
217.847064548,593.8487, 0.0180,-0.2646, 593.5611,-0.2557
217.867253202,593.8476, 0.0182,-0.2646, 593.5611,-0.2434
217.887369367,593.8465, 0.0185,-0.2646, 593.5611,-0.2409
217.907580310,593.8464, 0.0188,-0.2646, 593.8046,-0.2405
217.927675728,593.8465, 0.0192,-0.2646, 593.8046,-0.2441
217.947789518,593.8467, 0.0195,-0.2646, 593.8046,-0.2473
217.967939053,593.8468, 0.0198,-0.2646, 593.8046,-0.2574
217.988048344,593.8470, 0.0198,-0.2646, 593.8046,-0.2655
218.008150260,593.8468, 0.0198,-0.2646, 593.7140,-0.2608
218.028251344,593.8466, 0.0197,-0.2646, 593.7140,-0.2594
218.048345803,593.8463, 0.0198,-0.2645, 593.7540,-0.2634
218.068440637,593.8462, 0.0197,-0.2645, 593.7540,-0.2620
218.088546845,593.8461, 0.0197,-0.2645, 593.7540,-0.2547
218.108642054,593.8470, 0.0200,-0.2645, 594.0051,-0.2600
218.128751970,593.8485, 0.0203,-0.2646, 594.0051,-0.2525
218.148850304,593.8491, 0.0205,-0.2646, 593.7747,-0.2585
218.168955553,593.8491, 0.0205,-0.2645, 593.7747,-0.2596
218.189063052,593.8491, 0.0206,-0.2645, 593.7747,-0.2589
218.209166260,593.8511, 0.0210,-0.2646, 594.1659,-0.2580
218.229268552,593.8531, 0.0212,-0.2646, 594.1659,-0.2611
218.250440488,593.8545, 0.0214,-0.2646, 593.9393,-0.2636
