time,altitude,velocity,accel_bias,alt (bmp),vert_accel
234.366563059,593.6727,-0.0143,-0.2620, 593.6479,-0.2537
234.386736418,593.6722,-0.0142,-0.2620, 593.6575,-0.2574
234.406863699,593.6719,-0.0141,-0.2620, 593.6575,-0.2571
234.426991064,593.6715,-0.0141,-0.2620, 593.6575,-0.2564
234.447113763,593.6713,-0.0140,-0.2620, 593.7275,-0.2591
234.467210799,593.6713,-0.0139,-0.2620, 593.7275,-0.2621
234.487534554,593.6713,-0.0139,-0.2620, 593.8391,-0.2665
234.507637214,593.6719,-0.0139,-0.2621, 593.8391,-0.2687
234.527734542,593.6724,-0.0139,-0.2621, 593.8391,-0.2665
234.547862990,593.6721,-0.0139,-0.2621, 593.5160,-0.2597
234.567983606,593.6708,-0.0140,-0.2621, 593.5160,-0.2629
234.588101389,593.6698,-0.0140,-0.2620, 593.6066,-0.2586
234.608213548,593.6692,-0.0139,-0.2620, 593.6066,-0.2574
234.628321999,593.6686,-0.0139,-0.2620, 593.6066,-0.2595
234.648414618,593.6682,-0.0140,-0.2620, 593.6634,-0.2717
234.668519362,593.6679,-0.0143,-0.2620, 593.6634,-0.2774
234.688634145,593.6677,-0.0146,-0.2620, 593.7578,-0.2744
234.708735389,593.6679,-0.0146,-0.2620, 593.7578,-0.2640
234.728836341,593.6680,-0.0146,-0.2620, 593.7578,-0.2646
234.748938917,593.6674,-0.0146,-0.2620, 593.5611,-0.2637
234.769041119,593.6666,-0.0148,-0.2620, 593.5611,-0.2686
234.789153195,593.6655,-0.0151,-0.2620, 593.3799,-0.2725
234.809260896,593.6638,-0.0154,-0.2620, 593.3799,-0.2698
234.829366764,593.6620,-0.0157,-0.2620, 593.3799,-0.2644
234.849465799,593.6612,-0.0157,-0.2620, 593.6221,-0.2572
234.869568918,593.6606,-0.0157,-0.2620, 593.6221,-0.2590
234.889682493,593.6602,-0.0157,-0.2620, 593.6992,-0.2611
234.909789902,593.6601,-0.0157,-0.2620, 593.6992,-0.2626
234.929894229,593.6600,-0.0157,-0.2620, 593.6992,-0.2659
234.949994639,593.6599,-0.0158,-0.2620, 593.7127,-0.2676
234.970097633,593.6598,-0.0159,-0.2620, 593.7127,-0.2676
234.990213416,593.6595,-0.0160,-0.2620, 593.5425,-0.2711
235.010320617,593.6586,-0.0162,-0.2620, 593.5425,-0.2717
235.030424569,593.6577,-0.0165,-0.2620, 593.5425,-0.2739
235.050527187,593.6573,-0.0167,-0.2620, 593.6823,-0.2681
235.070628181,593.6571,-0.0168,-0.2620, 593.6823,-0.2696
235.090740006,593.6568,-0.0169,-0.2620, 593.6176,-0.2662
235.110850040,593.6562,-0.0171,-0.2620, 593.6176,-0.2753
235.130950784,593.6557,-0.0174,-0.2620, 593.6176,-0.2750
235.151054152,593.6563,-0.0175,-0.2620, 593.9352,-0.2683
235.171160437,593.6574,-0.0175,-0.2620, 593.9352,-0.2696
235.191274679,593.6582,-0.0175,-0.2620, 593.7977,-0.2703
235.211376880,593.6586,-0.0176,-0.2620, 593.7977,-0.2693
235.231491789,593.6589,-0.0176,-0.2620, 593.7977,-0.2673
235.251604906,593.6594,-0.0177,-0.2620, 593.8349,-0.2740
235.271693737,593.6599,-0.0178,-0.2621, 593.8349,-0.2730
235.291827353,593.6605,-0.0179,-0.2621, 593.9393,-0.2728
235.311923891,593.6616,-0.0180,-0.2621, 593.9393,-0.2768
235.332019638,593.6626,-0.0181,-0.2621, 593.9393,-0.2724
235.352121217,593.6625,-0.0182,-0.2621, 593.6613,-0.2725
