time,altitude,velocity,accel_bias,alt (bmp),vert_accel
117.689285731,593.3724,-0.0026,-0.2649, 593.3648,-0.2682
117.709399538,593.3723,-0.0026,-0.2649, 593.3648,-0.2691
117.729502389,593.3728,-0.0027,-0.2649, 593.5460,-0.2678
117.749601073,593.3736,-0.0027,-0.2649, 593.5460,-0.2682
117.769699716,593.3744,-0.0026,-0.2649, 593.5308,-0.2676
117.789829563,593.3751,-0.0025,-0.2649, 593.5308,-0.2621
117.809937080,593.3759,-0.0024,-0.2649, 593.5308,-0.2611
117.830040597,593.3772,-0.0021,-0.2649, 593.6820,-0.2605
117.850131699,593.3786,-0.0018,-0.2649, 593.6820,-0.2616
117.870234758,593.3810,-0.0014,-0.2649, 593.8825,-0.2641
117.890337900,593.3835,-0.0011,-0.2649, 593.8825,-0.2631
117.910616641,593.3860,-0.0007,-0.2650, 593.7574,-0.2594
117.930719617,593.3878,-0.0004,-0.2650, 593.7574,-0.2636
117.950822176,593.3896,-0.0002,-0.2650, 593.7574,-0.2689
117.971004973,593.3903,-0.0002,-0.2650, 593.2849,-0.2688
117.991106574,593.3897,-0.0004,-0.2650, 593.2849,-0.2694
118.011216756,593.3892,-0.0006,-0.2650, 593.3190,-0.2713
118.031359268,593.3888,-0.0007,-0.2650, 593.3190,-0.2695
118.051464910,593.3884,-0.0009,-0.2650, 593.3190,-0.2690
118.071587466,593.3886,-0.0009,-0.2650, 593.5497,-0.2736
118.091732143,593.3894,-0.0010,-0.2650, 593.5497,-0.2775
118.111855033,593.3902,-0.0011,-0.2650, 593.2095,-0.2751
118.131963716,593.3892,-0.0014,-0.2650, 593.2095,-0.2713
118.152071482,593.3883,-0.0017,-0.2650, 593.2095,-0.2781
118.172180999,593.3886,-0.0018,-0.2650, 593.7092,-0.2740
118.192299264,593.3901,-0.0018,-0.2650, 593.7092,-0.2757
118.212410821,593.3917,-0.0018,-0.2650, 593.4702,-0.2739
118.232524337,593.3920,-0.0019,-0.2650, 593.4702,-0.2757
118.252630397,593.3924,-0.0020,-0.2650, 593.4702,-0.2686
118.272731667,593.3926,-0.0020,-0.2650, 593.4209,-0.2648
118.292842394,593.3927,-0.0020,-0.2650, 593.4209,-0.2651
118.312964577,593.3928,-0.0020,-0.2650, 593.4058,-0.2617
118.333065889,593.3928,-0.0019,-0.2650, 593.4058,-0.2629
118.353176783,593.3928,-0.0018,-0.2650, 593.4058,-0.2607
118.373283344,593.3926,-0.0018,-0.2650, 593.3300,-0.2606
118.393405152,593.3923,-0.0017,-0.2650, 593.3300,-0.2594
118.413531210,593.3919,-0.0017,-0.2650, 593.4209,-0.2682
118.433634480,593.3920,-0.0018,-0.2650, 593.4209,-0.2706
118.453765579,593.3921,-0.0019,-0.2650, 593.4209,-0.2684
118.473860142,593.3914,-0.0020,-0.2650, 593.1230,-0.2646
118.493992949,593.3900,-0.0021,-0.2650, 593.1230,-0.2607
118.514100510,593.3886,-0.0021,-0.2650, 593.3314,-0.2602
118.534203655,593.3883,-0.0020,-0.2650, 593.3314,-0.2585
118.554296343,593.3880,-0.0020,-0.2650, 593.3314,-0.2564
118.574392655,593.3877,-0.0018,-0.2650, 593.3796,-0.2576
118.594526670,593.3877,-0.0017,-0.2650, 593.3796,-0.2580
118.614639314,593.3876,-0.0016,-0.2650, 593.3686,-0.2623
118.634744208,593.3874,-0.0015,-0.2650, 593.3686,-0.2618
118.654838313,593.3873,-0.0015,-0.2650, 593.3686,-0.2658
118.674939583,593.3882,-0.0014,-0.2650, 593.6575,-0.2657
