time,altitude,velocity,accel_bias,alt (bmp),vert_accel
204.420746017,596.7304,-0.0259,-0.2577, 596.5945,-0.2579
204.440882199,596.7291,-0.0260,-0.2577, 596.5945,-0.2601
204.461010508,596.7279,-0.0262,-0.2577, 596.5794,-0.2621
204.481143858,596.7266,-0.0264,-0.2577, 596.5794,-0.2635
204.501269417,596.7254,-0.0266,-0.2577, 596.5794,-0.2638
204.521391435,596.7241,-0.0268,-0.2577, 596.5794,-0.2639
204.541512411,596.7228,-0.0269,-0.2577, 596.5794,-0.2587
204.561638220,596.7216,-0.0271,-0.2577, 596.6414,-0.2590
204.581801441,596.7206,-0.0271,-0.2577, 596.6414,-0.2568
204.601916793,596.7197,-0.0272,-0.2577, 596.6414,-0.2636
204.622024354,596.7187,-0.0274,-0.2577, 596.6262,-0.2633
204.642127668,596.7177,-0.0275,-0.2577, 596.6262,-0.2617
204.662240022,596.7166,-0.0276,-0.2577, 596.6262,-0.2582
204.682350586,596.7156,-0.0277,-0.2577, 596.6262,-0.2568
204.702458524,596.7146,-0.0278,-0.2577, 596.6262,-0.2585
204.722567713,596.7136,-0.0279,-0.2577, 596.6262,-0.2665
204.742673526,596.7126,-0.0282,-0.2577, 596.6262,-0.2672
204.762775882,596.7116,-0.0285,-0.2577, 596.6414,-0.2704
204.782879821,596.7107,-0.0287,-0.2577, 596.6414,-0.2709
204.802976386,596.7095,-0.0291,-0.2576, 596.6414,-0.2681
204.823084533,596.7085,-0.0293,-0.2576, 596.6262,-0.2629
204.843238175,596.7075,-0.0294,-0.2576, 596.6262,-0.2616
204.863354987,596.7064,-0.0297,-0.2576, 596.5959,-0.2682
204.883466925,596.7052,-0.0299,-0.2576, 596.5959,-0.2679
204.903577114,596.7040,-0.0302,-0.2576, 596.5811,-0.2662
204.923699259,596.7028,-0.0303,-0.2576, 596.5811,-0.2575
204.943815488,596.7016,-0.0304,-0.2576, 596.5811,-0.2545
204.963931842,596.7004,-0.0304,-0.2576, 596.5959,-0.2553
204.984049405,596.6993,-0.0305,-0.2576, 596.5959,-0.2553
205.004161343,596.6981,-0.0305,-0.2576, 596.5959,-0.2530
205.024283738,596.6970,-0.0305,-0.2576, 596.5959,-0.2521
205.044405508,596.6958,-0.0304,-0.2576, 596.5959,-0.2509
205.064520863,596.6948,-0.0303,-0.2576, 596.6114,-0.2476
205.084630968,596.6937,-0.0302,-0.2576, 596.6114,-0.2490
205.104742198,596.6927,-0.0301,-0.2576, 596.5642,-0.2526
205.124866926,596.6914,-0.0300,-0.2576, 596.5642,-0.2476
205.144990988,596.6902,-0.0299,-0.2576, 596.5642,-0.2519
205.165117132,596.6890,-0.0299,-0.2576, 596.5794,-0.2530
205.185237153,596.6878,-0.0299,-0.2576, 596.5794,-0.2590
205.205450287,596.6867,-0.0300,-0.2576, 596.5794,-0.2575
205.225561434,596.6855,-0.0302,-0.2576, 596.5794,-0.2645
205.245815022,596.6844,-0.0304,-0.2576, 596.5794,-0.2626
205.265936043,596.6833,-0.0305,-0.2576, 596.5945,-0.2603
205.286046148,596.6822,-0.0307,-0.2575, 596.5945,-0.2646
205.306154211,596.6811,-0.0309,-0.2575, 596.6093,-0.2665
205.326265274,596.6801,-0.0312,-0.2575, 596.6093,-0.2702
205.346537569,596.6792,-0.0315,-0.2575, 596.6093,-0.2708
205.366668463,596.6782,-0.0317,-0.2575, 596.6093,-0.2669
205.386776901,596.6772,-0.0319,-0.2575, 596.6093,-0.2644
205.407133894,596.6762,-0.0320,-0.2575, 596.6397,-0.2666
