time,altitude,velocity,accel_bias,alt (bmp),vert_accel
141.980831204,596.8986, 0.0314,-0.2618, 596.6803,-0.2561
142.000949422,596.8981, 0.0314,-0.2618, 596.6803,-0.2538
142.021066432,596.8977, 0.0314,-0.2618, 596.6955,-0.2535
142.041182401,596.8973, 0.0314,-0.2617, 596.6955,-0.2579
142.061292828,596.8969, 0.0314,-0.2617, 596.6803,-0.2597
142.081404756,596.8964, 0.0313,-0.2617, 596.6803,-0.2589
142.101517975,596.8959, 0.0312,-0.2617, 596.6803,-0.2615
142.121632443,596.8955, 0.0311,-0.2617, 596.6955,-0.2609
142.141738288,596.8951, 0.0311,-0.2617, 596.6955,-0.2535
142.161849591,596.8947, 0.0311,-0.2617, 596.7110,-0.2529
142.181963726,596.8944, 0.0312,-0.2617, 596.7110,-0.2530
142.202079070,596.8941, 0.0313,-0.2617, 596.7110,-0.2521
142.222190539,596.8938, 0.0314,-0.2617, 596.7110,-0.2501
142.242301675,596.8935, 0.0316,-0.2617, 596.7110,-0.2481
142.262416061,596.8932, 0.0318,-0.2617, 596.7110,-0.2420
142.282527863,596.8929, 0.0321,-0.2617, 596.7110,-0.2417
142.302639791,596.8926, 0.0322,-0.2616, 596.7110,-0.2489
142.322751260,596.8923, 0.0323,-0.2616, 596.7110,-0.2530
142.342863770,596.8920, 0.0324,-0.2616, 596.7110,-0.2502
142.362978281,596.8917, 0.0325,-0.2616, 596.7110,-0.2548
142.383082751,596.8915, 0.0325,-0.2616, 596.7110,-0.2567
142.403214384,596.8912, 0.0325,-0.2616, 596.7110,-0.2550
142.423314730,596.8909, 0.0325,-0.2616, 596.7110,-0.2550
142.443417908,596.8907, 0.0326,-0.2616, 596.7110,-0.2517
142.463523128,596.8904, 0.0326,-0.2616, 596.7110,-0.2548
142.483629057,596.8901, 0.0326,-0.2616, 596.7110,-0.2569
142.503741401,596.8899, 0.0327,-0.2616, 596.7110,-0.2523
142.523853745,596.8897, 0.0327,-0.2616, 596.7409,-0.2531
142.543964047,596.8896, 0.0328,-0.2616, 596.7409,-0.2517
142.564065351,596.8895, 0.0329,-0.2616, 596.7409,-0.2541
142.584172238,596.8894, 0.0330,-0.2615, 596.7409,-0.2539
142.604401817,596.8892, 0.0330,-0.2615, 596.7409,-0.2555
142.624516661,596.8891, 0.0330,-0.2615, 596.7409,-0.2537
142.644631049,596.8890, 0.0330,-0.2615, 596.7409,-0.2528
142.664744146,596.8890, 0.0332,-0.2615, 596.7713,-0.2508
142.684851285,596.8890, 0.0333,-0.2615, 596.7713,-0.2520
142.704961133,596.8891, 0.0334,-0.2615, 596.7713,-0.2548
142.725227253,596.8892, 0.0335,-0.2615, 596.7713,-0.2541
142.745344641,596.8892, 0.0336,-0.2615, 596.7713,-0.2473
142.765458238,596.8892, 0.0338,-0.2615, 596.7065,-0.2555
142.785570669,596.8889, 0.0337,-0.2615, 596.7065,-0.2547
142.805692098,596.8887, 0.0338,-0.2615, 596.7065,-0.2538
142.826086826,596.8885, 0.0337,-0.2615, 596.7220,-0.2619
142.846202507,596.8883, 0.0336,-0.2615, 596.7220,-0.2600
142.866314645,596.8881, 0.0336,-0.2615, 596.7220,-0.2561
142.886427201,596.8880, 0.0336,-0.2615, 596.7220,-0.2516
142.906542006,596.8878, 0.0337,-0.2615, 596.7220,-0.2505
142.926655270,596.8877, 0.0338,-0.2614, 596.7368,-0.2491
142.946765368,596.8876, 0.0340,-0.2614, 596.7368,-0.2445
142.966877923,596.8875, 0.0343,-0.2614, 596.7368,-0.2442
