time,altitude,velocity,accel_bias,alt (bmp),vert_accel
162.128866136,596.8533,-0.0008,-0.2565, 596.8891,-0.2568
162.148980791,596.8535,-0.0008,-0.2565, 596.8891,-0.2632
162.169097862,596.8535,-0.0010,-0.2565, 596.8119,-0.2633
162.189211142,596.8533,-0.0012,-0.2565, 596.8119,-0.2649
162.209323297,596.8530,-0.0013,-0.2565, 596.8119,-0.2586
162.229433619,596.8528,-0.0013,-0.2565, 596.8267,-0.2578
162.249545983,596.8527,-0.0015,-0.2565, 596.8267,-0.2646
162.269661179,596.8525,-0.0015,-0.2565, 596.8119,-0.2555
162.289775709,596.8522,-0.0017,-0.2565, 596.8119,-0.2653
162.309887906,596.8520,-0.0019,-0.2565, 596.8119,-0.2662
162.330001936,596.8517,-0.0021,-0.2565, 596.8119,-0.2652
162.350113675,596.8515,-0.0022,-0.2565, 596.8119,-0.2626
162.370226663,596.8512,-0.0023,-0.2565, 596.8119,-0.2636
162.390341609,596.8509,-0.0025,-0.2565, 596.8119,-0.2659
162.410457889,596.8507,-0.0027,-0.2565, 596.8119,-0.2665
162.430572502,596.8503,-0.0029,-0.2565, 596.7816,-0.2600
162.450685991,596.8499,-0.0029,-0.2565, 596.7816,-0.2597
162.470802062,596.8495,-0.0030,-0.2565, 596.7816,-0.2582
162.490955129,596.8491,-0.0030,-0.2565, 596.7816,-0.2530
162.511107321,596.8486,-0.0030,-0.2565, 596.7816,-0.2526
162.531219851,596.8482,-0.0029,-0.2565, 596.7816,-0.2536
162.551384583,596.8478,-0.0030,-0.2565, 596.7816,-0.2558
162.571521610,596.8473,-0.0030,-0.2565, 596.7168,-0.2548
162.591631141,596.8466,-0.0030,-0.2565, 596.7168,-0.2553
162.611741713,596.8459,-0.0031,-0.2565, 596.7168,-0.2548
162.631871908,596.8452,-0.0032,-0.2565, 596.7168,-0.2540
162.651977400,596.8444,-0.0033,-0.2565, 596.7168,-0.2588
162.672087350,596.8437,-0.0033,-0.2565, 596.7320,-0.2535
162.692270499,596.8431,-0.0033,-0.2565, 596.7320,-0.2557
162.712372950,596.8423,-0.0035,-0.2565, 596.7320,-0.2628
162.732486025,596.8417,-0.0037,-0.2565, 596.7472,-0.2642
162.752599600,596.8412,-0.0040,-0.2565, 596.7472,-0.2646
162.772711216,596.8405,-0.0041,-0.2565, 596.7003,-0.2624
162.792823707,596.8397,-0.0044,-0.2564, 596.7003,-0.2636
162.812933824,596.8389,-0.0045,-0.2564, 596.7155,-0.2539
162.833194422,596.8382,-0.0045,-0.2564, 596.7155,-0.2581
162.853305331,596.8374,-0.0046,-0.2564, 596.7155,-0.2584
162.873419697,596.8368,-0.0048,-0.2564, 596.7303,-0.2650
162.893531813,596.8361,-0.0050,-0.2564, 596.7303,-0.2621
162.913643763,596.8355,-0.0052,-0.2564, 596.7155,-0.2633
162.933755880,596.8348,-0.0055,-0.2564, 596.7155,-0.2633
162.953867663,596.8340,-0.0056,-0.2564, 596.7155,-0.2589
162.973979404,596.8333,-0.0058,-0.2564, 596.7303,-0.2617
162.994093062,596.8327,-0.0059,-0.2564, 596.7303,-0.2575
163.014204845,596.8321,-0.0059,-0.2564, 596.7458,-0.2513
163.034318420,596.8315,-0.0059,-0.2564, 596.7458,-0.2596
163.054584018,596.8309,-0.0060,-0.2564, 596.7458,-0.2599
163.074697384,596.8304,-0.0062,-0.2564, 596.7606,-0.2647
163.095112422,596.8299,-0.0063,-0.2564, 596.7606,-0.2617
163.115236203,596.8294,-0.0064,-0.2564, 596.7265,-0.2566
