time,altitude,velocity,accel_bias,alt (bmp),vert_accel
43.300559215,595.9939,-0.3531,-0.2232, 596.7020,-0.2585
43.320678174,595.9904,-0.3534,-0.2232, 596.7020,-0.2571
43.340791884,595.9867,-0.3536,-0.2232, 596.6397,-0.2524
43.360906552,595.9830,-0.3537,-0.2233, 596.6397,-0.2484
43.381018096,595.9792,-0.3538,-0.2233, 596.6397,-0.2497
43.401132764,595.9755,-0.3539,-0.2233, 596.6397,-0.2497
43.421248140,595.9717,-0.3540,-0.2233, 596.6397,-0.2510
43.441406843,595.9681,-0.3541,-0.2234, 596.6851,-0.2518
43.461519637,595.9647,-0.3543,-0.2234, 596.6851,-0.2545
43.481623640,595.9612,-0.3545,-0.2234, 596.6851,-0.2578
43.501738974,595.9578,-0.3547,-0.2234, 596.6851,-0.2566
43.521853142,595.9543,-0.3549,-0.2235, 596.6851,-0.2586
43.542184571,595.9509,-0.3551,-0.2235, 596.7003,-0.2580
43.562296406,595.9476,-0.3553,-0.2235, 596.7003,-0.2592
43.582405200,595.9443,-0.3555,-0.2236, 596.7303,-0.2573
43.602516618,595.9412,-0.3557,-0.2236, 596.7303,-0.2576
43.622628078,595.9380,-0.3559,-0.2236, 596.7303,-0.2549
43.642739708,595.9349,-0.3561,-0.2237, 596.7303,-0.2595
43.662865879,595.9318,-0.3564,-0.2237, 596.7303,-0.2641
43.682981010,595.9287,-0.3566,-0.2237, 596.6834,-0.2590
43.703097933,595.9253,-0.3569,-0.2238, 596.6834,-0.2575
43.723216980,595.9220,-0.3571,-0.2238, 596.6834,-0.2566
43.743334652,595.9188,-0.3572,-0.2238, 596.7289,-0.2564
43.763455991,595.9158,-0.3573,-0.2238, 596.7289,-0.2562
43.783632238,595.9127,-0.3575,-0.2239, 596.7441,-0.2572
43.803785821,595.9098,-0.3576,-0.2239, 596.7441,-0.2576
43.823914992,595.9068,-0.3577,-0.2239, 596.7441,-0.2533
43.844019750,595.9039,-0.3578,-0.2240, 596.7592,-0.2536
43.864271986,595.9011,-0.3579,-0.2240, 596.7592,-0.2553
43.884383617,595.8989,-0.3579,-0.2240, 596.7592,-0.2523
43.904543533,595.8959,-0.3581,-0.2241, 596.7096,-0.2600
43.924655456,595.8936,-0.3583,-0.2241, 596.7096,-0.2603
43.944774129,595.8906,-0.3584,-0.2241, 596.7399,-0.2572
43.964886718,595.8869,-0.3586,-0.2242, 596.7399,-0.2595
43.984998100,595.8841,-0.3588,-0.2242, 596.7399,-0.2633
44.005113439,595.8819,-0.3590,-0.2242, 596.7399,-0.2665
44.025231195,595.8784,-0.3593,-0.2243, 596.7399,-0.2682
44.045349117,595.8755,-0.3596,-0.2243, 596.7551,-0.2684
44.065460415,595.8728,-0.3599,-0.2243, 596.7551,-0.2662
44.085571130,595.8700,-0.3601,-0.2244, 596.7551,-0.2570
44.105680262,595.8670,-0.3602,-0.2244, 596.6931,-0.2555
44.125795476,595.8640,-0.3603,-0.2244, 596.6931,-0.2530
44.145907982,595.8610,-0.3603,-0.2245, 596.7079,-0.2544
44.166020156,595.8580,-0.3604,-0.2245, 596.7079,-0.2602
44.186134662,595.8551,-0.3607,-0.2246, 596.7079,-0.2630
44.206248918,595.8522,-0.3609,-0.2246, 596.7079,-0.2670
44.226500696,595.8500,-0.3612,-0.2246, 596.7079,-0.2677
44.246615160,595.8464,-0.3615,-0.2247, 596.7079,-0.2600
44.266719668,595.8435,-0.3616,-0.2247, 596.7079,-0.2598
44.286851004,595.8406,-0.3618,-0.2247, 596.7079,-0.2583
