time,altitude,velocity,accel_bias,alt (bmp),vert_accel
253.762280018,596.7174,-0.0036,-0.2585, 596.6279,-0.2628
253.782396482,596.7170,-0.0037,-0.2585, 596.6279,-0.2553
253.802509573,596.7164,-0.0037,-0.2585, 596.6279,-0.2613
253.822626454,596.7159,-0.0038,-0.2585, 596.6279,-0.2603
253.842901318,596.7154,-0.0038,-0.2585, 596.6279,-0.2567
253.863036281,596.7148,-0.0038,-0.2585, 596.6131,-0.2542
253.883150163,596.7142,-0.0037,-0.2585, 596.6131,-0.2511
253.903470147,596.7136,-0.0036,-0.2585, 596.6131,-0.2509
253.923593944,596.7130,-0.0035,-0.2585, 596.6131,-0.2518
253.943719783,596.7124,-0.0035,-0.2585, 596.6131,-0.2542
253.963830999,596.7119,-0.0034,-0.2585, 596.6279,-0.2480
253.983948505,596.7114,-0.0032,-0.2585, 596.6279,-0.2459
254.004065428,596.7109,-0.0030,-0.2585, 596.6431,-0.2472
254.024230888,596.7105,-0.0029,-0.2585, 596.6431,-0.2496
254.044341062,596.7101,-0.0028,-0.2585, 596.6431,-0.2503
254.064461151,596.7097,-0.0028,-0.2585, 596.6734,-0.2547
254.084581449,596.7095,-0.0027,-0.2585, 596.6734,-0.2509
254.104698122,596.7092,-0.0026,-0.2585, 596.7037,-0.2552
254.124823670,596.7092,-0.0025,-0.2585, 596.7037,-0.2545
254.144942843,596.7091,-0.0025,-0.2585, 596.7037,-0.2584
254.165064765,596.7090,-0.0024,-0.2585, 596.7186,-0.2559
254.185233433,596.7090,-0.0024,-0.2585, 596.7186,-0.2600
254.205341273,596.7090,-0.0025,-0.2585, 596.7186,-0.2642
254.225492401,596.7090,-0.0026,-0.2585, 596.7186,-0.2584
254.245607158,596.7090,-0.0026,-0.2585, 596.7186,-0.2523
254.265713707,596.7088,-0.0024,-0.2585, 596.6693,-0.2502
254.285821465,596.7086,-0.0022,-0.2585, 596.6693,-0.2503
254.305928431,596.7083,-0.0021,-0.2585, 596.6541,-0.2512
254.326039896,596.7080,-0.0021,-0.2585, 596.6541,-0.2532
254.346151279,596.7077,-0.0020,-0.2585, 596.6541,-0.2548
254.366261619,596.7073,-0.0020,-0.2585, 596.6541,-0.2544
254.386368793,596.7070,-0.0020,-0.2585, 596.6541,-0.2550
254.406474760,596.7067,-0.0018,-0.2585, 596.6844,-0.2495
254.426592516,596.7065,-0.0017,-0.2585, 596.6844,-0.2514
254.446709356,596.7063,-0.0016,-0.2585, 596.6844,-0.2556
254.466821238,596.7062,-0.0016,-0.2585, 596.6844,-0.2590
254.487107476,596.7060,-0.0016,-0.2585, 596.6844,-0.2586
254.507228107,596.7059,-0.0016,-0.2585, 596.6996,-0.2549
254.527357279,596.7058,-0.0016,-0.2585, 596.6996,-0.2624
254.547481201,596.7057,-0.0017,-0.2585, 596.6996,-0.2593
254.567603957,596.7057,-0.0016,-0.2585, 596.6996,-0.2524
254.587837034,596.7056,-0.0014,-0.2585, 596.6996,-0.2483
254.607956790,596.7055,-0.0012,-0.2585, 596.6996,-0.2452
254.628078129,596.7055,-0.0009,-0.2585, 596.6996,-0.2471
254.648188513,596.7054,-0.0007,-0.2585, 596.6996,-0.2457
254.668312021,596.7052,-0.0005,-0.2585, 596.6679,-0.2500
254.688421572,596.7050,-0.0004,-0.2585, 596.6679,-0.2508
254.708545747,596.7048,-0.0002,-0.2585, 596.6679,-0.2483
254.728815405,596.7046,-0.0001,-0.2585, 596.6679,-0.2516
254.748941621,596.7044, 0.0001,-0.2585, 596.6679,-0.2508
