time,altitude,velocity,accel_bias,alt (bmp),vert_accel
175.220395646,596.7055,-0.0092,-0.2570, 596.8171,-0.2641
175.240510505,596.7059,-0.0093,-0.2570, 596.8171,-0.2665
175.260628780,596.7063,-0.0094,-0.2570, 596.8171,-0.2634
175.280757762,596.7066,-0.0094,-0.2570, 596.8023,-0.2615
175.300877037,596.7069,-0.0093,-0.2570, 596.8023,-0.2532
175.321144585,596.7072,-0.0091,-0.2570, 596.8171,-0.2533
175.341268776,596.7075,-0.0090,-0.2570, 596.8171,-0.2541
175.361382927,596.7079,-0.0089,-0.2570, 596.8171,-0.2553
175.381524782,596.7082,-0.0089,-0.2570, 596.8023,-0.2598
175.401693176,596.7085,-0.0088,-0.2570, 596.8023,-0.2587
175.421804494,596.7086,-0.0089,-0.2570, 596.7251,-0.2628
175.441932892,596.7085,-0.0088,-0.2570, 596.7251,-0.2549
175.462032545,596.7084,-0.0087,-0.2570, 596.7251,-0.2522
175.482146570,596.7083,-0.0087,-0.2570, 596.7251,-0.2524
175.502257929,596.7082,-0.0086,-0.2570, 596.7251,-0.2608
175.522366497,596.7082,-0.0088,-0.2570, 596.7399,-0.2676
175.542471899,596.7081,-0.0090,-0.2570, 596.7399,-0.2690
175.562581216,596.7081,-0.0092,-0.2570, 596.7399,-0.2609
175.582690368,596.7081,-0.0092,-0.2570, 596.7554,-0.2592
175.602796727,596.7081,-0.0092,-0.2570, 596.7554,-0.2580
175.622958914,596.7082,-0.0092,-0.2570, 596.7554,-0.2640
175.643062693,596.7082,-0.0093,-0.2570, 596.7554,-0.2638
175.663173805,596.7083,-0.0095,-0.2570, 596.7554,-0.2614
175.683469269,596.7084,-0.0095,-0.2570, 596.7702,-0.2654
175.703596796,596.7085,-0.0097,-0.2570, 596.7702,-0.2646
175.723717532,596.7086,-0.0098,-0.2570, 596.7702,-0.2617
175.743838226,596.7087,-0.0099,-0.2570, 596.7702,-0.2672
175.763951421,596.7088,-0.0100,-0.2570, 596.7702,-0.2661
175.784080614,596.7089,-0.0102,-0.2570, 596.7702,-0.2626
175.804365164,596.7090,-0.0103,-0.2570, 596.7702,-0.2619
175.824488066,596.7091,-0.0103,-0.2570, 596.7702,-0.2575
175.844737036,596.7092,-0.0103,-0.2570, 596.7702,-0.2593
175.864844149,596.7093,-0.0102,-0.2571, 596.7234,-0.2575
175.884958927,596.7091,-0.0103,-0.2571, 596.7234,-0.2604
175.905080454,596.7090,-0.0104,-0.2571, 596.7234,-0.2595
175.925202565,596.7088,-0.0104,-0.2571, 596.7385,-0.2560
175.945324676,596.7088,-0.0104,-0.2571, 596.7385,-0.2624
175.965433580,596.7087,-0.0104,-0.2571, 596.7534,-0.2578
175.985560065,596.7087,-0.0105,-0.2571, 596.7534,-0.2587
176.005679759,596.7087,-0.0105,-0.2571, 596.7534,-0.2583
176.025792871,596.7087,-0.0105,-0.2571, 596.7534,-0.2583
176.045903899,596.7087,-0.0105,-0.2571, 596.7534,-0.2572
176.066018219,596.7087,-0.0105,-0.2571, 596.7689,-0.2599
176.086132456,596.7088,-0.0106,-0.2571, 596.7689,-0.2670
176.106246817,596.7089,-0.0108,-0.2571, 596.7689,-0.2667
176.126413964,596.7090,-0.0108,-0.2571, 596.7992,-0.2581
176.146521868,596.7092,-0.0107,-0.2571, 596.7992,-0.2564
176.166659019,596.7095,-0.0106,-0.2571, 596.7992,-0.2576
176.186767548,596.7097,-0.0106,-0.2571, 596.7992,-0.2575
176.206877285,596.7099,-0.0106,-0.2571, 596.7992,-0.2592
