time,altitude,velocity,accel_bias,alt (bmp),vert_accel
83.574142530,596.9431, 0.0116,-0.2599, 596.7568,-0.2501
83.594252122,596.9424, 0.0118,-0.2599, 596.7568,-0.2472
83.614354381,596.9417, 0.0118,-0.2599, 596.7568,-0.2525
83.634467474,596.9410, 0.0119,-0.2599, 596.7720,-0.2511
83.654576278,596.9404, 0.0119,-0.2599, 596.7720,-0.2520
83.674685291,596.9398, 0.0120,-0.2599, 596.7720,-0.2525
83.694788805,596.9392, 0.0120,-0.2599, 596.7868,-0.2573
83.714896068,596.9386, 0.0119,-0.2599, 596.7868,-0.2600
83.735015912,596.9381, 0.0118,-0.2599, 596.8171,-0.2559
83.755122675,596.9377, 0.0118,-0.2599, 596.8171,-0.2550
83.775236354,596.9372, 0.0118,-0.2598, 596.8171,-0.2539
83.795350408,596.9366, 0.0118,-0.2598, 596.7527,-0.2586
83.815460045,596.9359, 0.0117,-0.2598, 596.7527,-0.2557
83.835571641,596.9352, 0.0117,-0.2598, 596.7527,-0.2488
83.855680654,596.9345, 0.0118,-0.2598, 596.7527,-0.2528
83.875785625,596.9338, 0.0118,-0.2598, 596.7527,-0.2561
83.895904970,596.9332, 0.0117,-0.2598, 596.7678,-0.2536
83.916061685,596.9326, 0.0118,-0.2598, 596.7678,-0.2537
83.936173114,596.9320, 0.0118,-0.2598, 596.7830,-0.2525
83.956284709,596.9315, 0.0118,-0.2598, 596.7830,-0.2496
83.976395430,596.9309, 0.0119,-0.2598, 596.7830,-0.2534
83.996507359,596.9302, 0.0118,-0.2598, 596.7361,-0.2616
84.016613372,596.9295, 0.0116,-0.2598, 596.7361,-0.2621
84.036726218,596.9287, 0.0114,-0.2598, 596.7361,-0.2657
84.056838314,596.9280, 0.0112,-0.2598, 596.7361,-0.2562
84.076953326,596.9272, 0.0112,-0.2597, 596.7361,-0.2592
84.097222941,596.9265, 0.0111,-0.2597, 596.7509,-0.2565
84.117334412,596.9259, 0.0110,-0.2597, 596.7509,-0.2615
84.137452174,596.9252, 0.0110,-0.2597, 596.7664,-0.2493
84.158241219,596.9246, 0.0112,-0.2597, 596.7664,-0.2503
84.178361188,596.9240, 0.0112,-0.2597, 596.7664,-0.2494
84.198477117,596.9236, 0.0114,-0.2597, 596.7964,-0.2506
84.218586755,596.9231, 0.0115,-0.2597, 596.7964,-0.2465
84.238748760,596.9227, 0.0115,-0.2597, 596.7472,-0.2566
84.258873187,596.9220, 0.0113,-0.2597, 596.7472,-0.2641
84.279002697,596.9213, 0.0112,-0.2597, 596.7472,-0.2606
84.299142872,596.9208, 0.0110,-0.2597, 596.7775,-0.2619
84.319255885,596.9203, 0.0109,-0.2597, 596.7775,-0.2642
84.339591450,596.9198, 0.0107,-0.2597, 596.8074,-0.2673
84.359698213,596.9194, 0.0105,-0.2597, 596.8074,-0.2677
84.379803560,596.9190, 0.0102,-0.2597, 596.8074,-0.2687
84.399916238,596.9187, 0.0100,-0.2596, 596.8074,-0.2700
84.420024918,596.9182, 0.0095,-0.2596, 596.8074,-0.2691
84.440140471,596.9178, 0.0093,-0.2596, 596.8074,-0.2646
84.460255192,596.9174, 0.0091,-0.2596, 596.8074,-0.2687
84.480367829,596.9170, 0.0088,-0.2596, 596.7754,-0.2669
84.500475842,596.9165, 0.0086,-0.2596, 596.7754,-0.2689
84.520588229,596.9159, 0.0082,-0.2596, 596.7754,-0.2738
84.540711448,596.9154, 0.0079,-0.2596, 596.7754,-0.2670
84.560823585,596.9148, 0.0077,-0.2596, 596.7754,-0.2668
