time,altitude,velocity,accel_bias,alt (bmp),vert_accel
202.407029596,596.8246,-0.0124,-0.2582, 596.7458,-0.2551
202.427154817,596.8239,-0.0124,-0.2582, 596.7458,-0.2529
202.447281412,596.8233,-0.0123,-0.2582, 596.7458,-0.2522
202.467401425,596.8227,-0.0122,-0.2582, 596.7757,-0.2513
202.487508731,596.8222,-0.0121,-0.2582, 596.7757,-0.2498
202.507688987,596.8217,-0.0120,-0.2582, 596.7757,-0.2535
202.527826748,596.8212,-0.0119,-0.2582, 596.7757,-0.2520
202.547935638,596.8207,-0.0117,-0.2582, 596.7757,-0.2492
202.568045443,596.8201,-0.0117,-0.2582, 596.6962,-0.2540
202.588307231,596.8192,-0.0117,-0.2582, 596.6962,-0.2545
202.608420037,596.8183,-0.0117,-0.2582, 596.6962,-0.2561
202.628529551,596.8175,-0.0118,-0.2582, 596.6962,-0.2578
202.648796800,596.8164,-0.0117,-0.2581, 596.6962,-0.2509
202.668912649,596.8155,-0.0117,-0.2581, 596.6813,-0.2518
202.689024874,596.8146,-0.0117,-0.2581, 596.6813,-0.2523
202.709130266,596.8137,-0.0117,-0.2581, 596.6813,-0.2532
202.729244449,596.8128,-0.0117,-0.2581, 596.6813,-0.2566
202.749358173,596.8118,-0.0118,-0.2581, 596.6813,-0.2603
202.769470773,596.8109,-0.0118,-0.2581, 596.6813,-0.2579
202.789627701,596.8100,-0.0120,-0.2581, 596.6813,-0.2629
202.809734260,596.8091,-0.0121,-0.2581, 596.6813,-0.2593
202.829850817,596.8082,-0.0123,-0.2581, 596.6813,-0.2640
202.849963667,596.8073,-0.0125,-0.2581, 596.6813,-0.2611
202.870079974,596.8064,-0.0127,-0.2581, 596.6662,-0.2622
202.890184825,596.8054,-0.0128,-0.2581, 596.6662,-0.2619
202.910299841,596.8044,-0.0129,-0.2581, 596.6507,-0.2617
202.930415482,596.8034,-0.0131,-0.2581, 596.6507,-0.2657
202.950531582,596.8023,-0.0133,-0.2581, 596.6507,-0.2584
202.970647181,596.8013,-0.0134,-0.2581, 596.6507,-0.2573
202.990761280,596.8003,-0.0136,-0.2581, 596.6507,-0.2660
203.010875047,596.7992,-0.0138,-0.2581, 596.6662,-0.2608
203.031000353,596.7983,-0.0140,-0.2580, 596.6662,-0.2632
203.051120994,596.7973,-0.0141,-0.2580, 596.6662,-0.2561
203.071231552,596.7964,-0.0142,-0.2580, 596.6662,-0.2616
203.091351901,596.7954,-0.0144,-0.2580, 596.6662,-0.2623
203.111470916,596.7945,-0.0145,-0.2580, 596.6662,-0.2544
203.131592307,596.7935,-0.0145,-0.2580, 596.6662,-0.2545
203.151717155,596.7926,-0.0145,-0.2580, 596.6662,-0.2515
203.171838212,596.7917,-0.0145,-0.2580, 596.6662,-0.2546
203.191960311,596.7907,-0.0145,-0.2580, 596.6662,-0.2595
203.212081659,596.7898,-0.0147,-0.2580, 596.6662,-0.2641
203.232248878,596.7889,-0.0149,-0.2580, 596.6662,-0.2606
203.252350104,596.7879,-0.0151,-0.2580, 596.6662,-0.2681
203.272455204,596.7872,-0.0154,-0.2580, 596.7303,-0.2700
203.292573303,596.7866,-0.0156,-0.2580, 596.7303,-0.2673
203.312684986,596.7859,-0.0159,-0.2580, 596.6662,-0.2703
203.332797461,596.7850,-0.0162,-0.2580, 596.6662,-0.2693
203.352910228,596.7841,-0.0166,-0.2580, 596.6662,-0.2737
203.373025077,596.7831,-0.0169,-0.2580, 596.6507,-0.2702
203.393135635,596.7821,-0.0172,-0.2580, 596.6507,-0.2622
