time,altitude,velocity,accel_bias,alt (bmp),vert_accel
151.043289823,596.9923, 0.0379,-0.2597, 596.8608,-0.2583
151.063417110,596.9923, 0.0379,-0.2597, 596.8912,-0.2561
151.083544355,596.9926, 0.0379,-0.2597, 596.8912,-0.2550
151.103670267,596.9928, 0.0379,-0.2597, 596.8912,-0.2599
151.123792763,596.9930, 0.0379,-0.2597, 596.8912,-0.2571
151.143913384,596.9933, 0.0379,-0.2597, 596.8912,-0.2544
151.164027256,596.9935, 0.0381,-0.2597, 596.9518,-0.2489
151.184158876,596.9940, 0.0382,-0.2597, 596.9518,-0.2529
151.204281205,596.9946, 0.0384,-0.2597, 596.9518,-0.2417
151.224398660,596.9949, 0.0388,-0.2597, 596.8722,-0.2366
151.244525530,596.9951, 0.0391,-0.2597, 596.8722,-0.2425
151.264644943,596.9952, 0.0393,-0.2597, 596.8870,-0.2502
151.284766481,596.9954, 0.0394,-0.2597, 596.8870,-0.2520
151.304928347,596.9957, 0.0395,-0.2597, 596.8870,-0.2483
151.325053343,596.9959, 0.0397,-0.2597, 596.9025,-0.2531
151.345193961,596.9962, 0.0398,-0.2597, 596.9025,-0.2518
151.365298459,596.9966, 0.0398,-0.2597, 596.9173,-0.2542
151.385407957,596.9969, 0.0399,-0.2596, 596.9173,-0.2535
151.405515246,596.9973, 0.0399,-0.2596, 596.9173,-0.2572
151.425627993,596.9977, 0.0400,-0.2596, 596.9173,-0.2495
151.445741282,596.9981, 0.0403,-0.2596, 596.9173,-0.2393
151.465842572,596.9985, 0.0406,-0.2596, 596.8884,-0.2421
151.485947945,596.9987, 0.0409,-0.2596, 596.8884,-0.2435
151.506074232,596.9990, 0.0411,-0.2596, 596.8884,-0.2495
151.526189104,596.9993, 0.0413,-0.2596, 596.9032,-0.2487
151.546463540,596.9997, 0.0414,-0.2596, 596.9032,-0.2486
151.566578578,597.0000, 0.0416,-0.2596, 596.9032,-0.2456
151.586691659,597.0003, 0.0418,-0.2596, 596.9032,-0.2505
151.606804989,597.0007, 0.0419,-0.2596, 596.9032,-0.2524
151.626959023,597.0008, 0.0419,-0.2596, 596.8536,-0.2511
151.647079646,597.0009, 0.0420,-0.2596, 596.8536,-0.2496
151.667305382,597.0010, 0.0420,-0.2596, 596.8691,-0.2535
151.687425007,597.0012, 0.0420,-0.2596, 596.8691,-0.2585
151.707541715,597.0013, 0.0420,-0.2596, 596.8691,-0.2572
151.727664505,597.0016, 0.0420,-0.2596, 596.8994,-0.2515
151.747783213,597.0019, 0.0421,-0.2596, 596.8994,-0.2530
151.767894297,597.0022, 0.0423,-0.2596, 596.9142,-0.2468
151.788015046,597.0026, 0.0424,-0.2596, 596.9142,-0.2515
151.808284068,597.0030, 0.0425,-0.2596, 596.9142,-0.2552
151.828408484,597.0032, 0.0425,-0.2596, 596.8646,-0.2554
151.848529858,597.0034, 0.0425,-0.2595, 596.8646,-0.2601
151.868695851,597.0035, 0.0423,-0.2595, 596.8950,-0.2692
151.888817517,597.0038, 0.0421,-0.2595, 596.8950,-0.2628
151.909089164,597.0041, 0.0419,-0.2595, 596.8950,-0.2644
151.929205955,597.0044, 0.0418,-0.2595, 596.9105,-0.2593
151.949323538,597.0048, 0.0418,-0.2595, 596.9105,-0.2601
151.969443871,597.0051, 0.0417,-0.2595, 596.8633,-0.2566
151.989563370,597.0052, 0.0416,-0.2595, 596.8633,-0.2604
152.009725239,597.0053, 0.0415,-0.2595, 596.8633,-0.2566
152.029854904,597.0054, 0.0415,-0.2595, 596.8788,-0.2553
