time,altitude,velocity,accel_bias,alt (bmp),vert_accel
195.358192941,596.8917, 0.0014,-0.2584, 596.7785,-0.2547
195.378314686,596.8911, 0.0014,-0.2584, 596.7785,-0.2502
195.398428515,596.8906, 0.0014,-0.2584, 596.7785,-0.2629
195.418542428,596.8900, 0.0013,-0.2584, 596.7785,-0.2563
195.439138492,596.8895, 0.0012,-0.2584, 596.7785,-0.2593
195.459259278,596.8889, 0.0012,-0.2584, 596.8254,-0.2499
195.479385481,596.8886, 0.0013,-0.2584, 596.8254,-0.2534
195.499654834,596.8883, 0.0014,-0.2584, 596.8254,-0.2550
195.519830447,596.8880, 0.0013,-0.2584, 596.8102,-0.2620
195.539972648,596.8876, 0.0013,-0.2584, 596.8102,-0.2506
195.560230669,596.8872, 0.0014,-0.2584, 596.8102,-0.2548
195.580335166,596.8868, 0.0014,-0.2584, 596.8102,-0.2602
195.600446162,596.8865, 0.0012,-0.2584, 596.8102,-0.2601
195.620554283,596.8861, 0.0013,-0.2584, 596.8102,-0.2476
195.640660365,596.8857, 0.0014,-0.2583, 596.8102,-0.2547
195.660984547,596.8854, 0.0014,-0.2583, 596.7799,-0.2561
195.681098379,596.8847, 0.0013,-0.2583, 596.7799,-0.2587
195.701209669,596.8842, 0.0012,-0.2583, 596.7799,-0.2608
195.721321376,596.8837, 0.0011,-0.2583, 596.7799,-0.2626
195.741434458,596.8832, 0.0010,-0.2583, 596.7799,-0.2572
195.761552123,596.8827, 0.0010,-0.2583, 596.7799,-0.2511
195.781791856,596.8821, 0.0011,-0.2583, 596.7799,-0.2483
195.801903480,596.8816, 0.0012,-0.2583, 596.7799,-0.2524
195.822015062,596.8812, 0.0013,-0.2583, 596.7950,-0.2514
195.842129061,596.8808, 0.0013,-0.2583, 596.7950,-0.2554
195.862240143,596.8804, 0.0013,-0.2583, 596.7950,-0.2563
195.882353433,596.8799, 0.0013,-0.2583, 596.7950,-0.2515
195.902464224,596.8795, 0.0015,-0.2583, 596.7950,-0.2511
195.922574806,596.8792, 0.0015,-0.2583, 596.8254,-0.2540
195.942692137,596.8790, 0.0015,-0.2583, 596.8254,-0.2530
195.962810052,596.8787, 0.0016,-0.2583, 596.8254,-0.2611
195.982938590,596.8785, 0.0015,-0.2583, 596.8254,-0.2601
196.003057505,596.8782, 0.0014,-0.2583, 596.8254,-0.2579
196.023225039,596.8780, 0.0015,-0.2583, 596.8402,-0.2558
196.043346786,596.8779, 0.0016,-0.2583, 596.8402,-0.2543
196.063612725,596.8777, 0.0016,-0.2583, 596.8402,-0.2532
196.083735222,596.8775, 0.0017,-0.2583, 596.8402,-0.2585
196.103854720,596.8774, 0.0016,-0.2583, 596.8402,-0.2576
196.123977301,596.8773, 0.0016,-0.2583, 596.8557,-0.2573
196.144246073,596.8772, 0.0017,-0.2583, 596.8557,-0.2570
196.164384318,596.8771, 0.0016,-0.2583, 596.8557,-0.2605
196.184514065,596.8770, 0.0015,-0.2583, 596.8557,-0.2597
196.204627105,596.8769, 0.0015,-0.2583, 596.8557,-0.2599
196.224747686,596.8769, 0.0014,-0.2583, 596.8857,-0.2602
196.244872267,596.8770, 0.0013,-0.2583, 596.8857,-0.2663
196.265048883,596.8770, 0.0011,-0.2583, 596.8236,-0.2675
196.285158174,596.8767, 0.0010,-0.2583, 596.8236,-0.2606
196.305420404,596.8764, 0.0009,-0.2583, 596.8236,-0.2640
196.325528320,596.8762, 0.0007,-0.2583, 596.8388,-0.2682
196.345632445,596.8760, 0.0005,-0.2583, 596.8388,-0.2614
