time,altitude,velocity,accel_bias,alt (bmp),vert_accel
4.023062110,594.9239,-0.8015,-0.0013, 595.9810,-0.2123
4.043189349,594.9132,-0.8051,-0.0013, 595.9810,-0.2123
4.063301381,594.9025,-0.8087,-0.0014, 595.9810,-0.2196
4.083403997,594.8917,-0.8124,-0.0014, 595.9810,-0.2215
4.103514613,594.8810,-0.8161,-0.0015, 595.9961,-0.2214
4.123630228,594.8703,-0.8198,-0.0015, 595.9961,-0.2216
4.143752926,594.8595,-0.8234,-0.0015, 595.9961,-0.2182
4.163864833,594.8488,-0.8270,-0.0016, 595.9961,-0.2196
4.183971741,594.8380,-0.8307,-0.0016, 595.9961,-0.2231
4.204083398,594.8273,-0.8343,-0.0017, 595.9961,-0.2199
4.224286756,594.8165,-0.8380,-0.0017, 595.9961,-0.2237
4.244407162,594.8057,-0.8417,-0.0018, 595.9961,-0.2261
4.264520736,594.7949,-0.8454,-0.0018, 596.0109,-0.2248
4.284629935,594.7841,-0.8490,-0.0019, 596.0109,-0.2204
4.304739718,594.7733,-0.8527,-0.0019, 596.0264,-0.2243
4.324847083,594.7626,-0.8563,-0.0020, 596.0264,-0.2269
4.344971906,594.7518,-0.8600,-0.0020, 596.0264,-0.2286
4.365135351,594.7410,-0.8637,-0.0021, 596.0264,-0.2278
4.385273090,594.7302,-0.8674,-0.0021, 596.0264,-0.2284
4.405409788,594.7194,-0.8712,-0.0022, 596.0412,-0.2321
4.425500781,594.7087,-0.8748,-0.0022, 596.0412,-0.2323
4.445610106,594.6979,-0.8785,-0.0023, 596.0412,-0.2211
4.465714182,594.6871,-0.8822,-0.0023, 596.0412,-0.2338
4.485813175,594.6763,-0.8858,-0.0024, 596.0412,-0.2281
4.505911251,594.6654,-0.8894,-0.0024, 596.0264,-0.2278
4.526008077,594.6545,-0.8931,-0.0025, 596.0264,-0.2263
4.546125818,594.6435,-0.8968,-0.0026, 596.0264,-0.2325
4.566266558,594.6325,-0.9004,-0.0026, 596.0109,-0.2288
4.586365967,594.6187,-0.9051,-0.0027, 596.0109,-0.2331
4.606468293,594.6076,-0.9089,-0.0027, 596.0109,-0.2358
4.626568452,594.5965,-0.9126,-0.0028, 596.0109,-0.2333
4.646839556,594.5854,-0.9162,-0.0029, 595.9961,-0.2264
4.666945006,594.5741,-0.9199,-0.0029, 595.9961,-0.2318
4.687045874,594.5629,-0.9235,-0.0030, 595.9961,-0.2317
4.707144783,594.5516,-0.9271,-0.0030, 595.9810,-0.2300
4.727243276,594.5403,-0.9307,-0.0031, 595.9810,-0.2268
4.747352810,594.5289,-0.9343,-0.0031, 595.9810,-0.2275
4.767453802,594.5176,-0.9379,-0.0032, 595.9810,-0.2306
4.787553837,594.5062,-0.9414,-0.0033, 595.9810,-0.2281
4.807656537,594.4948,-0.9450,-0.0033, 595.9658,-0.2318
4.827759405,594.4833,-0.9486,-0.0034, 595.9658,-0.2236
4.847862606,594.4718,-0.9521,-0.0034, 595.9506,-0.2252
4.867965348,594.4602,-0.9555,-0.0035, 595.9506,-0.2272
4.888059050,594.4486,-0.9589,-0.0036, 595.9506,-0.2237
4.908166667,594.4370,-0.9625,-0.0036, 595.9506,-0.2294
4.928268659,594.4254,-0.9661,-0.0037, 595.9506,-0.2385
4.948379484,594.4137,-0.9697,-0.0037, 595.9358,-0.2312
4.968487476,594.4020,-0.9734,-0.0038, 595.9358,-0.2295
4.988596510,594.3903,-0.9769,-0.0039, 595.9358,-0.2390
5.008704627,594.3785,-0.9806,-0.0039, 595.9358,-0.2323
