time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
0.000000000,  0.0000, 0.0000, 0.0000, 548.1981, 0.0000,
0.020119601,548.1981,-0.0042,-0.0000, 548.1981,-0.2797,
0.040231643,548.1980,-0.0098,-0.0000, 548.1981,-0.2777,
0.060340061,548.1981,-0.0153,-0.0000, 548.4999,-0.2743,
0.080455227,548.1993,-0.0205,-0.0000, 548.4999,-0.2753,
0.100811863,548.2005,-0.0273,-0.0000, 548.4999,-0.2816,
0.120921989,548.2012,-0.0328,-0.0000, 548.4505,-0.2821,
0.141034489,548.2017,-0.0383,-0.0001, 548.4505,-0.2767,
0.161173944,548.2022,-0.0437,-0.0001, 548.4505,-0.2763,
0.181292569,548.2025,-0.0490,-0.0001, 548.4505,-0.2748,
0.201401153,548.2027,-0.0543,-0.0001, 548.4505,-0.2708,
0.221521860,548.2028,-0.0595,-0.0001, 548.4505,-0.2669,
0.241646651,548.2028,-0.0647,-0.0001, 548.4505,-0.2661,
0.261758026,548.2026,-0.0698,-0.0001, 548.4008,-0.2617,
0.281887108,548.2022,-0.0749,-0.0001, 548.4008,-0.2600,
0.302005066,548.2016,-0.0800,-0.0001, 548.4008,-0.2611,
0.322240675,548.2010,-0.0851,-0.0001, 548.4008,-0.2672,
0.342624599,548.2002,-0.0904,-0.0001, 548.4008,-0.2719,
0.363246200,548.1993,-0.0957,-0.0001, 548.3857,-0.2677,
0.383370991,548.1983,-0.1008,-0.0002, 548.3857,-0.2588,
0.403489115,548.1972,-0.1059,-0.0002, 548.4008,-0.2630,
0.423614572,548.1961,-0.1111,-0.0002, 548.4008,-0.2577,
0.443868055,548.1948,-0.1162,-0.0002, 548.4008,-0.2664,
0.463994386,548.1935,-0.1214,-0.0002, 548.4008,-0.2661,
0.484118885,548.1921,-0.1266,-0.0002, 548.4008,-0.2675,
0.504241634,548.1905,-0.1318,-0.0002, 548.4008,-0.2721,
0.524448331,548.1889,-0.1373,-0.0002, 548.4008,-0.2831,
0.544553374,548.1872,-0.1429,-0.0002, 548.4008,-0.2855,
0.564689537,548.1852,-0.1484,-0.0002, 548.3387,-0.2824,
0.584801871,548.1829,-0.1540,-0.0002, 548.3387,-0.2897,
0.604915705,548.1806,-0.1597,-0.0002, 548.3387,-0.2840,
0.625163229,548.1782,-0.1651,-0.0002, 548.3387,-0.2692,
0.645271980,548.1756,-0.1703,-0.0003, 548.3387,-0.2675,
0.665377939,548.1729,-0.1757,-0.0003, 548.3236,-0.2826,
0.685530310,548.1701,-0.1813,-0.0003, 548.3236,-0.2818,
0.705644268,548.1665,-0.1882,-0.0003, 548.3236,-0.2814,
0.725760520,548.1635,-0.1938,-0.0003, 548.3236,-0.2885,
0.745874317,548.1604,-0.1994,-0.0003, 548.3236,-0.2801,
0.765987781,548.1572,-0.2048,-0.0003, 548.3236,-0.2708,
0.786103411,548.1539,-0.2102,-0.0003, 548.3236,-0.2766,
0.806215666,548.1505,-0.2156,-0.0003, 548.3387,-0.2739,
0.826381498,548.1471,-0.2209,-0.0003, 548.3387,-0.2756,
0.846496545,548.1436,-0.2263,-0.0003, 548.3387,-0.2804,
0.866620424,548.1400,-0.2318,-0.0003, 548.3387,-0.2822,
0.886734805,548.1363,-0.2372,-0.0003, 548.3387,-0.2747,
0.906850935,548.1326,-0.2426,-0.0003, 548.3387,-0.2761,
0.926963274,548.1287,-0.2480,-0.0004, 548.3387,-0.2739,
0.947080029,548.1248,-0.2532,-0.0004, 548.3387,-0.2665,
0.967197409,548.1207,-0.2584,-0.0004, 548.3387,-0.2663,
0.987316164,548.1166,-0.2636,-0.0004, 548.3387,-0.2703,
