time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.065581408,585.3176,-1.4868,-0.0393, 589.7766,-0.2396
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.085694534,585.3103,-1.4879,-0.0395, 589.7766,-0.2382
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.105834239,585.3031,-1.4891,-0.0396, 589.8066,-0.2424
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.125955322,585.2961,-1.4904,-0.0398, 589.8066,-0.2445
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.146053450,585.2890,-1.4916,-0.0400, 589.7598,-0.2416
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.166154703,585.2817,-1.4928,-0.0402, 589.7598,-0.2441
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.186263413,585.2744,-1.4940,-0.0403, 589.7598,-0.2387
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.206385412,585.2672,-1.4950,-0.0405, 589.7746,-0.2341
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.226486873,585.2601,-1.4960,-0.0407, 589.7746,-0.2319
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.246586918,585.2529,-1.4969,-0.0409, 589.7897,-0.2269
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.266680130,585.2458,-1.4978,-0.0411, 589.7897,-0.2262
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.286788632,585.2388,-1.4986,-0.0413, 589.7897,-0.2256
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.306898383,585.2301,-1.4995,-0.0415, 589.8049,-0.2213
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.326998678,585.2232,-1.5002,-0.0417, 589.8049,-0.2257
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.347107888,585.2162,-1.5010,-0.0418, 589.7580,-0.2258
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.367213640,585.2091,-1.5019,-0.0420, 589.7580,-0.2289
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.387339055,585.2020,-1.5026,-0.0422, 589.7580,-0.2235
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.407457972,585.1950,-1.5034,-0.0424, 589.7728,-0.2273
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.427563974,585.1880,-1.5043,-0.0426, 589.7728,-0.2309
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.447671934,585.1811,-1.5051,-0.0428, 589.8031,-0.2311
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.467779602,585.1743,-1.5059,-0.0429, 589.8031,-0.2320
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.487900685,585.1675,-1.5068,-0.0431, 589.8031,-0.2355
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.508023601,585.1608,-1.5076,-0.0433, 589.8031,-0.2266
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.528132853,585.1540,-1.5083,-0.0435, 589.8031,-0.2276
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.548240563,585.1473,-1.5091,-0.0437, 589.8334,-0.2320
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.568350522,585.1408,-1.5099,-0.0439, 589.8334,-0.2380
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.588476854,585.1343,-1.5109,-0.0441, 589.8334,-0.2377
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.608598479,585.1277,-1.5117,-0.0443, 589.8334,-0.2328
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.628710855,585.1212,-1.5124,-0.0444, 589.8334,-0.2273
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.648825647,585.1147,-1.5131,-0.0446, 589.8334,-0.2258
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.668933982,585.1083,-1.5138,-0.0448, 589.8334,-0.2283
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.689054815,585.1018,-1.5144,-0.0450, 589.8334,-0.2270
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.709164733,585.0952,-1.5151,-0.0452, 589.7687,-0.2262
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.729279317,585.0884,-1.5158,-0.0454, 589.7687,-0.2320
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.749392568,585.0817,-1.5165,-0.0456, 589.7687,-0.2307
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.769509360,585.0750,-1.5173,-0.0458, 589.7687,-0.2376
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.789706763,585.0683,-1.5181,-0.0459, 589.7687,-0.2329
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.809824305,585.0617,-1.5189,-0.0461, 589.7839,-0.2331
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.829938264,585.0552,-1.5196,-0.0463, 589.7839,-0.2330
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.850042516,585.0487,-1.5203,-0.0465, 589.7990,-0.2303
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.870155142,585.0422,-1.5210,-0.0467, 589.7990,-0.2340
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.890275392,585.0358,-1.5217,-0.0469, 589.7990,-0.2309
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.910373270,585.0294,-1.5224,-0.0471, 589.7990,-0.2336
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.930491312,585.0230,-1.5230,-0.0473, 589.7990,-0.2267
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.950615561,585.0166,-1.5236,-0.0475, 589.8138,-0.2328
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.970713773,585.0103,-1.5242,-0.0477, 589.8138,-0.2317
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
11.990823357,585.0041,-1.5248,-0.0479, 589.8138,-0.2280
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
12.010923652,584.9976,-1.5254,-0.0480, 589.7518,-0.2306
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
12.031015740,584.9911,-1.5260,-0.0482, 589.7518,-0.2276
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
12.051180654,584.9846,-1.5266,-0.0484, 589.7518,-0.2305
