time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
0.000000000,  0.0000, 0.0000, 0.0000, 545.5009, 0.0000,
0.020119351,545.5006,-0.0228,-0.0000, 545.5009,-1.0743,
0.040216855,545.5000,-0.0430,-0.0000, 545.5009,-0.9780,
0.060322566,545.4993,-0.0620,-0.0000, 545.6370,-0.9383,
0.080413237,545.4985,-0.0787,-0.0000, 545.6370,-0.7546,
0.100514366,545.4975,-0.0904,-0.0000, 545.6819,-0.5044,
0.120627866,545.4966,-0.0985,-0.0000, 545.6819,-0.3664,
0.140727412,545.4955,-0.1038,-0.0000, 545.6819,-0.2221,
0.160825874,545.4944,-0.1074,-0.0000, 545.6966,-0.1883,
0.180926418,545.4932,-0.1121,-0.0000, 545.6966,-0.2291,
0.201029963,545.4920,-0.1145,-0.0001, 545.7113,-0.0794,
0.221149754,545.4908,-0.1159,-0.0001, 545.7113,-0.0877,
0.241251924,545.4895,-0.1185,-0.0001, 545.7113,-0.1717,
0.261351969,545.4881,-0.1235,-0.0001, 545.6640,-0.3204,
0.281455055,545.4865,-0.1317,-0.0001, 545.6640,-0.4461,
0.301560766,545.4846,-0.1405,-0.0001, 545.6788,-0.4651,
0.321682515,545.4827,-0.1507,-0.0001, 545.6788,-0.4958,
0.341775353,545.4806,-0.1589,-0.0001, 545.6788,-0.3861,
0.361881689,545.4784,-0.1650,-0.0001, 545.6788,-0.2730,
0.381986691,545.4760,-0.1696,-0.0001, 545.6788,-0.2029,
0.402096484,545.4736,-0.1725,-0.0001, 545.7089,-0.1165,
0.422214235,545.4714,-0.1732,-0.0001, 545.7089,-0.0095,
0.442310364,545.4691,-0.1725,-0.0002, 545.7089, 0.0404,
0.462430155,545.4668,-0.1712,-0.0002, 545.6764, 0.0688,
0.482561611,545.4645,-0.1690,-0.0002, 545.6764, 0.1253,
0.502664489,545.4622,-0.1664,-0.0002, 545.7065, 0.1221,
0.523176170,545.4601,-0.1640,-0.0002, 545.7065, 0.1040,
0.543284463,545.4581,-0.1620,-0.0002, 545.7065, 0.0877,
0.563388091,545.4562,-0.1601,-0.0002, 545.7213, 0.0805,
0.583546126,545.4543,-0.1593,-0.0002, 545.7213, 0.0020,
0.603647087,545.4520,-0.1602,-0.0002, 545.7213,-0.0826,
0.623758547,545.4502,-0.1622,-0.0002, 545.7213,-0.1188,
0.643862841,545.4483,-0.1645,-0.0003, 545.7213,-0.1235,
0.663963511,545.4462,-0.1664,-0.0003, 545.6867,-0.0830,
0.684053475,545.4441,-0.1670,-0.0003, 545.6867,-0.0452,
0.704152645,545.4420,-0.1679,-0.0003, 545.7017,-0.0640,
0.724266021,545.4400,-0.1701,-0.0003, 545.7017,-0.1581,
0.744369149,545.4379,-0.1731,-0.0003, 545.7017,-0.1555,
0.764464694,545.4358,-0.1762,-0.0003, 545.7312,-0.1631,
0.784563323,545.4337,-0.1796,-0.0003, 545.7312,-0.1900,
0.804667242,545.4317,-0.1833,-0.0003, 545.7614,-0.2155,
0.824786575,545.4296,-0.1880,-0.0004, 545.7614,-0.2588,
0.844893453,545.4275,-0.1931,-0.0004, 545.7614,-0.2581,
0.865000371,545.4253,-0.1976,-0.0004, 545.7761,-0.2235,
0.885110082,545.4231,-0.2014,-0.0004, 545.7761,-0.1827,
0.905224335,545.4209,-0.2043,-0.0004, 545.8210,-0.1385,
0.925347961,545.4188,-0.2060,-0.0004, 545.8210,-0.0806,
0.945446341,545.4167,-0.2073,-0.0004, 545.8210,-0.0826,
0.965554429,545.4143,-0.2089,-0.0005, 545.7563,-0.0989,
0.985657475,545.4119,-0.2106,-0.0005, 545.7563,-0.0834,
