time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.186325965,587.6984,-0.3151,-0.2526, 590.0393,-0.2624
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.206454694,587.7039,-0.3138,-0.2527, 590.0393,-0.2632
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.226569341,587.7094,-0.3126,-0.2528, 590.0393,-0.2672
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.246671907,587.7148,-0.3113,-0.2529, 590.0393,-0.2591
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.266781181,587.7203,-0.3101,-0.2530, 590.0393,-0.2638
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.286889287,587.7258,-0.3088,-0.2531, 590.1013,-0.2600
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.307003268,587.7316,-0.3074,-0.2532, 590.1013,-0.2579
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.327131330,587.7374,-0.3060,-0.2533, 590.1013,-0.2597
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.347242353,587.7430,-0.3047,-0.2533, 590.0393,-0.2637
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.367342420,587.7484,-0.3036,-0.2534, 590.0393,-0.2689
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.387465774,587.7539,-0.3024,-0.2535, 590.0393,-0.2703
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.407575089,587.7594,-0.3013,-0.2536, 590.0393,-0.2695
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.427684279,587.7648,-0.3001,-0.2537, 590.0393,-0.2643
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.447796010,587.7702,-0.2988,-0.2538, 590.0393,-0.2575
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.467887578,587.7757,-0.2975,-0.2539, 590.0393,-0.2605
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.487977854,587.7811,-0.2963,-0.2540, 590.0393,-0.2629
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.508086252,587.7866,-0.2950,-0.2541, 590.0393,-0.2571
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.528238936,587.7920,-0.2936,-0.2542, 590.0393,-0.2579
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.548342210,587.7988,-0.2919,-0.2543, 590.0393,-0.2566
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.568444734,587.8043,-0.2904,-0.2544, 590.0393,-0.2536
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.588540217,587.8097,-0.2890,-0.2545, 590.0393,-0.2591
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.608812217,587.8151,-0.2878,-0.2545, 590.0393,-0.2618
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.628920699,587.8206,-0.2865,-0.2546, 590.0393,-0.2600
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.649030555,587.8260,-0.2853,-0.2547, 590.0393,-0.2682
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.669133705,587.8315,-0.2841,-0.2548, 590.0393,-0.2651
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.689235021,587.8370,-0.2829,-0.2549, 590.1013,-0.2664
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.709349668,587.8427,-0.2816,-0.2550, 590.1013,-0.2583
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.729457192,587.8484,-0.2803,-0.2551, 590.1013,-0.2609
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.749559882,587.8542,-0.2789,-0.2552, 590.1164,-0.2583
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.769663865,587.8600,-0.2776,-0.2553, 590.1164,-0.2586
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.789760931,587.8658,-0.2762,-0.2554, 590.1164,-0.2563
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.809876662,587.8717,-0.2747,-0.2554, 590.1164,-0.2534
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.829977603,587.8775,-0.2733,-0.2555, 590.1164,-0.2554
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.850081835,587.8833,-0.2719,-0.2556, 590.1164,-0.2580
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.870185568,587.8891,-0.2705,-0.2557, 590.1164,-0.2563
time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
32.890290008,587.8949,-0.2691,-0.2558, 590.1164,-0.2540
