time,altitude,velocity,accel_bias,alt (bmp),vert_accel,
0.000000000,  0.0000, 0.0000, 0.0000, 552.0466, 0.0000,
0.020126611,552.0466,-0.0013,-0.0000, 552.0466,-0.0500,
0.040230539,552.0465,-0.0023,-0.0000, 552.0466,-0.0507,
0.060340133,552.0458,-0.0035, 0.0000, 551.8771,-0.0591,
0.080447311,552.0449,-0.0047, 0.0000, 551.8771,-0.0497,
0.100555322,552.0440,-0.0058, 0.0000, 551.8922,-0.0464,
0.120676998,552.0431,-0.0067, 0.0000, 551.8922,-0.0437,
0.140949784,552.0422,-0.0077, 0.0000, 551.8922,-0.0436,
0.161056878,552.0411,-0.0087, 0.0000, 551.8576,-0.0434,
0.181166764,552.0400,-0.0097, 0.0000, 551.8576,-0.0455,
0.201276941,552.0389,-0.0108, 0.0001, 551.8576,-0.0500,
0.221389577,552.0378,-0.0118, 0.0001, 551.8576,-0.0424,
0.241497629,552.0366,-0.0127, 0.0001, 551.8576,-0.0445,
0.261608432,552.0356,-0.0137, 0.0001, 551.8874,-0.0434,
0.281716401,552.0346,-0.0147, 0.0001, 551.8874,-0.0376,
0.301824662,552.0335,-0.0155, 0.0001, 551.8401,-0.0422,
0.321946672,552.0322,-0.0165, 0.0001, 551.8401,-0.0418,
0.342060099,552.0309,-0.0175, 0.0001, 551.8401,-0.0457,
0.362169860,552.0296,-0.0185, 0.0001, 551.8548,-0.0410,
0.382275496,552.0283,-0.0193, 0.0001, 551.8548,-0.0405,
0.402382215,552.0270,-0.0202, 0.0001, 551.8054,-0.0383,
0.422500933,552.0255,-0.0211, 0.0001, 551.8054,-0.0368,
0.442605945,552.0240,-0.0221, 0.0001, 551.8054,-0.0405,
0.462715122,552.0225,-0.0231, 0.0001, 551.8202,-0.0439,
0.482812134,552.0210,-0.0240, 0.0002, 551.8202,-0.0420,
0.502937977,552.0195,-0.0250, 0.0002, 551.8353,-0.0479,
0.523043655,552.0181,-0.0261, 0.0002, 551.8353,-0.0456,
0.543172955,552.0166,-0.0271, 0.0002, 551.8353,-0.0411,
0.563276842,552.0152,-0.0279, 0.0002, 551.8504,-0.0372,
0.583384769,552.0138,-0.0288, 0.0002, 551.8504,-0.0349,
0.603487197,552.0123,-0.0297, 0.0002, 551.7903,-0.0377,
0.623600000,552.0106,-0.0307, 0.0002, 551.7903,-0.0437,
0.643711219,552.0089,-0.0316, 0.0002, 551.7903,-0.0374,
0.663810605,552.0072,-0.0325, 0.0002, 551.8054,-0.0403,
0.683987151,552.0055,-0.0335, 0.0002, 551.8054,-0.0467,
0.704083372,552.0035,-0.0347, 0.0002, 551.8202,-0.0608,
0.724194841,552.0018,-0.0357, 0.0002, 551.8202,-0.0168,
0.744296144,552.0002,-0.0346, 0.0003, 551.8202, 0.0592,
0.764400364,551.9986,-0.0336, 0.0003, 551.8054, 0.0568,
0.784499709,551.9969,-0.0325, 0.0003, 551.8054, 0.0707,
0.804601762,551.9954,-0.0313, 0.0003, 551.8202, 0.0531,
0.824714689,551.9939,-0.0304, 0.0003, 551.8202, 0.0385,
0.844816243,551.9924,-0.0299, 0.0003, 551.7708, 0.0311,
0.864921920,551.9907,-0.0296, 0.0003, 551.7708, 0.0145,
0.885026307,551.9890,-0.0296, 0.0003, 551.7708, 0.0041,
0.905118695,551.9873,-0.0298, 0.0003, 551.7708,-0.0085,
0.925232164,551.9856,-0.0302, 0.0003, 551.7708,-0.0178,
0.945327552,551.9840,-0.0308, 0.0003, 551.7855,-0.0224,
0.968680187,551.9827,-0.0313, 0.0003, 551.7855,-0.0252,
0.988786574,551.9811,-0.0320, 0.0004, 551.7855,-0.0328,
