time,altitude,velocity,accel_bias,alt (bmp),vert_accel
86.499774486,591.3193,-0.0211,-0.2542, 591.3522,-0.2523
86.519894497,591.3190,-0.0210,-0.2542, 591.3522,-0.2533
86.540000343,591.3187,-0.0210,-0.2542, 591.3522,-0.2557
86.560104689,591.3185,-0.0210,-0.2542, 591.3522,-0.2562
86.580208451,591.3182,-0.0210,-0.2542, 591.3522,-0.2566
86.600311797,591.3180,-0.0211,-0.2542, 591.3670,-0.2590
86.620424725,591.3178,-0.0212,-0.2542, 591.3670,-0.2593
86.640526612,591.3176,-0.0213,-0.2542, 591.3522,-0.2671
86.660629916,591.3173,-0.0215,-0.2542, 591.3522,-0.2652
86.680731429,591.3171,-0.0217,-0.2542, 591.3522,-0.2680
86.700828984,591.3167,-0.0219,-0.2542, 591.3371,-0.2648
86.720951536,591.3164,-0.0220,-0.2542, 591.3371,-0.2622
86.741067464,591.3160,-0.0223,-0.2542, 591.3371,-0.2674
86.761173101,591.3157,-0.0225,-0.2542, 591.3371,-0.2665
86.781279738,591.3153,-0.0227,-0.2542, 591.3371,-0.2648
86.801381876,591.3150,-0.0229,-0.2542, 591.3371,-0.2666
86.821492138,591.3146,-0.0231,-0.2542, 591.3371,-0.2653
86.841604441,591.3143,-0.0233,-0.2542, 591.3522,-0.2592
86.861711411,591.3140,-0.0233,-0.2542, 591.3522,-0.2626
86.881811674,591.3137,-0.0235,-0.2542, 591.3522,-0.2593
86.901914395,591.3135,-0.0235,-0.2542, 591.3670,-0.2593
86.922028365,591.3133,-0.0236,-0.2542, 591.3670,-0.2582
86.942145834,591.3130,-0.0237,-0.2542, 591.3670,-0.2565
86.962240889,591.3128,-0.0237,-0.2542, 591.3670,-0.2581
86.982383648,591.3126,-0.0237,-0.2542, 591.3670,-0.2574
87.002530323,591.3124,-0.0237,-0.2543, 591.3670,-0.2527
87.022675957,591.3122,-0.0238,-0.2543, 591.3670,-0.2620
87.042775053,591.3120,-0.0240,-0.2543, 591.3670,-0.2660
87.062872607,591.3118,-0.0242,-0.2543, 591.3670,-0.2612
87.082969704,591.3115,-0.0243,-0.2543, 591.3670,-0.2606
87.103063050,591.3112,-0.0243,-0.2543, 591.3371,-0.2548
87.123199810,591.3108,-0.0244,-0.2543, 591.3371,-0.2598
87.143302032,591.3105,-0.0244,-0.2543, 591.3371,-0.2571
87.163389631,591.3101,-0.0245,-0.2543, 591.3371,-0.2554
87.183485061,591.3097,-0.0245,-0.2543, 591.3371,-0.2580
87.203585075,591.3094,-0.0246,-0.2543, 591.3522,-0.2618
87.223697338,591.3091,-0.0247,-0.2543, 591.3522,-0.2612
87.243799477,591.3088,-0.0247,-0.2543, 591.3670,-0.2613
87.263902282,591.3086,-0.0249,-0.2543, 591.3670,-0.2616
87.284003962,591.3084,-0.0250,-0.2543, 591.3670,-0.2637
87.304107017,591.3082,-0.0251,-0.2543, 591.3670,-0.2597
87.324222571,591.3080,-0.0252,-0.2543, 591.3670,-0.2601
87.344319835,591.3077,-0.0253,-0.2543, 591.3670,-0.2625
87.364421349,591.3075,-0.0254,-0.2543, 591.3670,-0.2633
87.384524279,591.3073,-0.0256,-0.2543, 591.3670,-0.2643
87.404624335,591.3071,-0.0258,-0.2543, 591.3670,-0.2657
87.424746847,591.3068,-0.0259,-0.2543, 591.3670,-0.2588
87.444853318,591.3065,-0.0260,-0.2543, 591.3054,-0.2617
87.464954582,591.3059,-0.0261,-0.2543, 591.3054,-0.2623
87.485052554,591.3054,-0.0262,-0.2543, 591.3202,-0.2583
